record_id,product_family_id,source,source_url,collection_date,observed_title,category,subcategory,competitor_type,display_currency,original_price,cleaned_price,price_basis,duration_minutes,group_model,language,rating_scale,rating_value,review_count,positioning,differentiating_features,duplicate_note,missing_data_flag,evidence_class,confidence,status
APD02-011,PF-SHOW-COMEDY,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,"Boom Chicago English Comedy Show",Performance,"evening entertainment",SUBSTITUTE,USD,"$30",30,per_person,120,shared,English,5,4.5,220,"English evening entertainment","indoor live show",,false,"Observed Data",Medium,PILOT
APD02-012,PF-FOOD-SPUI,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,"Food Tour with Drinks by Spui Canals and Jordaan",Food,"guided walking tastings",DIRECT,USD,"$114",114,per_person,180,shared,NOT_DISPLAYED,5,4.8,128,"food drinks and neighbourhoods","drinks; multi-area route",,true,"Observed Data",Medium,PILOT
APD02-013,PF-BIKE-HIDDEN,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,"Hidden Gems & Highlights Guided Bike Tour",Cycling,"hidden gems",DIRECT,USD,"$43",43,per_person,180,shared,NOT_DISPLAYED,5,4.8,1405,"hidden gems plus highlights","bike; broader discovery",,true,"Observed Data",Medium,PILOT
APD02-014,PF-CANAL-FRENCH,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,"Visit Amsterdam by Boat with a French Guide",Canal,"specialist language",DIRECT,USD,"$40",40,per_person,90,shared,French,5,4.5,940,"French-language live interpretation","specialist live language",,false,"Observed Data",Medium,PILOT
APD02-015,PF-FOOD-CULTURE,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,"Food and Culture Walking Tour with Tastings",Food,"culture and tastings",DIRECT,USD,"$91",91,per_person,210,shared,NOT_DISPLAYED,5,4.9,839,"food plus cultural interpretation","tastings; culture",,true,"Observed Data",Medium,PILOT
APD02-016,PF-FOOD-BOAT,Viator,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-08-22,"Eating Amsterdam: Food Walking Tour with Private Canal Cruise",Hybrid,"food walk plus boat",DIRECT,USD,"from $196",196,per_person,210,"small group",English,5,4.9,603,"food culture and private canal","6–7 tastings; drinks; private boat",,false,"Observed Data",High,PILOT
APD02-017,PF-FULLDAY-HYBRID,GYG,https://www.getyourguide.com/amsterdam-l36/amsterdam-full-day-walking-biking-cruising-with-lunch-t407357/,2026-08-22,"Walking Biking & Cruising",Hybrid,"full-day orientation",DIRECT,USD,"from $71",71,per_person,510,"small group max 10","English; Spanish",5,4.8,18,"Amsterdam in one day","walk; bike; cruise","Similar Viator listing observed; probable same operator/product family",false,"Observed Data",High,PILOT
APD02-018,PF-WALK-CRUISE,Klook,https://www.klook.com/activity/150500-amsterdam-walking-tour-with-canal-cruise/,2026-08-22,"Amsterdam walking tour with canal cruise",Hybrid,"walk plus canal",DIRECT,USD,"from $35.85",35.85,per_person,255,"join-in group","English; Spanish",NOT_DISPLAYED,,,"history walk plus cruise","guided walk; one-hour cruise",,true,"Observed Data",High,PILOT
APD02-019,PF-MUSEUM-CRUISE,Tiqets,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-van-gogh-museum-canal-cruise-p974260/,2026-08-22,"Van Gogh Museum: Entry Ticket + Canal Cruise",Bundle,"museum plus canal",SUBSTITUTE,EUR,NOT_DISPLAYED,,per_person,60,"independent bundle","audio guide 18 languages",5,4.7,1046,"two essential activities one ticket","museum admission; cruise; audio",,true,"Observed Data",High,PILOT
APD02-020,PF-CANAL-LUX,Expedia,https://www.expedia.com/things-to-do/amsterdam-luxury-canal-cruise-with-unlimited-drinks-bites.a4537928.activity-details,2026-08-22,"Canal Cruise with Unlimited Drinks & Bite option",Canal,"live-hosted food/drink",DIRECT,USD,"$23",23,per_person,60+,"shared; private option",English,10,9.2,4957,"electric luxury cruise","live host; drinks option","Likely same Flagship family as APD02-001; review count attributed to GetYourGuide",false,"Observed Data",High,PILOT
APD02-021,PF-CANAL-SMALL,Expedia,https://www.expedia.com/things-to-do/amsterdam-small-group-canal-cruise-including-snacks-and-drinks.a1045874.activity-details,2026-08-22,"Small-Group Canal Cruise Including Snacks and Drinks",Canal,"small-group food/drink",DIRECT,USD,"$69.21 $65.06",65.06,per_person,120,"small group max 12",English,NOT_DISPLAYED,,,"personal canal storytelling","open bar; Dutch snacks; small group",,true,"Observed Data",High,PILOT
APD02-022,PF-SELF-FOOD,Iamsterdam,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/amsterdam-self-guided-food-tour-de-jordaan-district,2026-08-22,"Amsterdam Self-Guided Food Tour: De Jordaan District",Self-guided,"digital food route",DIRECT,EUR,NOT_DISPLAYED,,not_displayed,,independent,NOT_DISPLAYED,NOT_DISPLAYED,,,"own pace neighbourhood food","PDF; map links; discounts; food excluded",,true,"Observed Data",High,PILOT
APD02-023,PF-BLUE-CITY,BlueBoat,https://tickets.blueboat.nl/?lang=en,2026-08-22,"City Canal Cruise",Canal,"classic direct operator",DIRECT,EUR,"EUR 15.00",15,per_person,75,shared,"multiple audio languages",NOT_DISPLAYED,,,"classic city cruise","direct operator; audio",,true,"Observed Data",High,PILOT
APD02-024,PF-CITYCARD-CRUISE,Tiqets,https://www.tiqets.com/en/amsterdam-lovers-canal-cruise-i-amsterdam-city-card-b277652/,2026-08-22,"Lovers Canal Cruise + I amsterdam City Card",Bundle,"city card plus canal",SUBSTITUTE,EUR,"EUR 78.38",78.38,per_person,,independent,"audio guide",NOT_DISPLAYED,,,"multi-attraction convenience","city card; transport; cruise; bike rental",,true,"Observed Data",High,PILOT
