voc_id,opportunity_area,product_type,source,source_title,source_url,review_date,observation_type,coding_stage,review_paraphrase,theme_codes,sentiment,jtbd,pain_point,rating_or_metric,confidence
V016,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-06,REVIEW_TEXT,MANUAL,"Small group, local foods and included drinks created an intimate experience",GROUP_INTERACTION;FOOD_QUALITY_VARIETY;HIDDEN_LOCAL_DISCOVERY,Positive,Try local food in an intimate social setting,,,Medium
V017,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-06,REVIEW_TEXT,MANUAL,Food was good but reviewer wanted more history and cultural explanation behind it,CULTURE_WITH_FOOD;DEPTH_OF_INFO,Mixed,"Understand why the food matters, not only taste it",Cultural context too thin,,Medium
V018,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-05,REVIEW_TEXT,MANUAL,Tour exposed visitor to foods they would not have selected independently and added Amsterdam history,FOOD_QUALITY_VARIETY;CULTURE_WITH_FOOD,Positive,Reduce uncertainty around unfamiliar local foods,,,Medium
V019,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-05,REVIEW_TEXT,MANUAL,Relaxed neighbourhood walk plus Dutch food felt accessible and interesting,PACE_WALKING;FOOD_QUALITY_VARIETY;HIDDEN_LOCAL_DISCOVERY,Positive,Explore a neighbourhood through low-stress tasting,,,Medium
V020,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-04,REVIEW_TEXT,MANUAL,"Small party made interaction easy, although walking effort should be clearer",GROUP_INTERACTION;PACE_WALKING,Mixed,Enjoy an intimate food tour with realistic physical expectations,Walking requirement needs clearer expectation,,Medium
V021,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-04,REVIEW_TEXT,MANUAL,Reviewer liked variety and discovery value early in the stay,FOOD_QUALITY_VARIETY;ORIENTATION_RECOMMENDATIONS,Positive,Use food discovery to orient later dining choices,,,Medium
V022,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-05,REVIEW_TEXT,MANUAL,Vegetarian alternatives were handled thoughtfully,DIETARY_INCLUSION,Positive,Participate without dietary needs becoming a burden,,,Medium
V023,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-05,REVIEW_TEXT,MANUAL,Reviewer judged portions too small for the price and expected a more substantial food experience,FOOD_QUANTITY_VALUE;VALUE_FOR_MONEY,Negative,Feel the tasting volume justifies the price,Food quantity felt too low for price,,Medium
V024,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-04,REVIEW_TEXT,MANUAL,Group social dynamic reduced inclusion when one large party stayed to itself,GROUP_INTERACTION,Negative,Feel included even when joining alone or as a small party,Group social cohesion weak,,Medium
V025,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-04,REVIEW_TEXT,AI_ASSISTED,"Guide knowledge, friendliness and hidden-city detail drove strong satisfaction",GUIDE_KNOWLEDGE;HIDDEN_LOCAL_DISCOVERY,Positive,See meaningful places with a knowledgeable local,,,Medium
V026,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-04,REVIEW_TEXT,AI_ASSISTED,Guide used humour and local identity to make hidden places memorable,STORYTELLING_CONTEXT;HIDDEN_LOCAL_DISCOVERY,Positive,"Understand local life, not only monuments",,,Medium
V027,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-03,REVIEW_TEXT,AI_ASSISTED,Route sometimes varied from listed areas but reviewer still valued less-obvious places and stories,ITINERARY_COVERAGE;HIDDEN_LOCAL_DISCOVERY,Mixed,Get authentic discovery without losing promised itinerary clarity,Route variance from listing,,Medium
V028,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-03,REVIEW_TEXT,AI_ASSISTED,Visitor valued modern Dutch life and social context more than a monument checklist,STORYTELLING_CONTEXT;HIDDEN_LOCAL_DISCOVERY,Positive,Understand how Amsterdam works and feels today,,,Medium
V029,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2025-10,REVIEW_TEXT,AI_ASSISTED,Past-and-present city context made the walk enjoyable,STORYTELLING_CONTEXT;GUIDE_KNOWLEDGE,Positive,Connect history with current city life,,,Medium
V030,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2026-01,REVIEW_TEXT,AI_ASSISTED,Games made facts easier and more enjoyable to absorb,STORYTELLING_CONTEXT,Positive,Learn actively rather than passively,,,Medium
V031,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2024-09,REVIEW_TEXT,AI_ASSISTED,Useful facts and personal asides made the process easy and worthwhile,GUIDE_KNOWLEDGE;STORYTELLING_CONTEXT,Positive,Get practical context in an easy format,,,Medium
V032,Guided walking,Walking,Viator,Amsterdam Highlights Small-Group Walking Tour,https://www.viator.com/tours/Amsterdam/Amsterdam-Small-Group-Walking-Tour/d525-61268P8,2026-07,REVIEW_TEXT,AI_ASSISTED,Reviewer enjoyed history but said several advertised itinerary points were skipped,ITINERARY_COVERAGE,Negative,Receive the itinerary that was promised,Advertised stops omitted,,Medium
V033,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-07,REVIEW_TEXT,AI_ASSISTED,History behind cafés plus generous food and a small-group canal component created strong value,CULTURE_WITH_FOOD;FOOD_QUANTITY_VALUE;GROUP_INTERACTION,Positive,"Combine food, local history and comfortable sightseeing",,,Medium
V034,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-07,REVIEW_TEXT,AI_ASSISTED,Guide personality and a good walk strengthened the tasting experience,GUIDE_KNOWLEDGE;PACE_WALKING,Positive,Have human guidance around unfamiliar food and streets,,,Medium
V035,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-07,REVIEW_TEXT,AI_ASSISTED,Food variety and local-life interpretation were valued together,FOOD_QUALITY_VARIETY;CULTURE_WITH_FOOD,Positive,Learn culture through food choices,,,Medium
V036,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-06,REVIEW_TEXT,AI_ASSISTED,Reviewer liked food but considered the experience expensive; enclosed boat reduced sightseeing quality,VALUE_FOR_MONEY;ITINERARY_COVERAGE,Mixed,Receive enough experiential value for a premium bundle,Price and boat visibility weakened value,,Medium
V037,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-05,REVIEW_TEXT,AI_ASSISTED,Tour provided food samples plus useful recommendations for later activities,ORIENTATION_RECOMMENDATIONS;FOOD_QUALITY_VARIETY,Positive,Use tasting as a gateway to the rest of the stay,,,Medium
V038,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-04,REVIEW_TEXT,AI_ASSISTED,Visitor highlighted substantial walking and need for appropriate footwear,PACE_WALKING,Mixed,Know physical effort before booking,Walking load should be explicit,,Medium
V039,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2025-12,REVIEW_TEXT,AI_ASSISTED,Guide offered extra local recommendations beyond the paid itinerary,ORIENTATION_RECOMMENDATIONS;GUIDE_KNOWLEDGE,Positive,Gain local recommendations beyond scheduled stops,,,Medium
V040,Food + culture,Food,Viator,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2025-10,REVIEW_TEXT,AI_ASSISTED,"Guide encouraged group interaction, useful because the canal portion was physically close-knit",GROUP_INTERACTION,Positive,Feel socially comfortable in a shared small-group experience,,,Medium
V041,Independent discovery,Self-guided audio,VoiceMap,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Sense of Place feedback score reported at 97% across the product feedback panel (223 ratings shown on page).,HIDDEN_LOCAL_DISCOVERY,Positive,Feel connected to the place while exploring independently,,97%,High
V042,Independent discovery,Self-guided audio,VoiceMap,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Navigation feedback score reported at 97% across the product feedback panel (223 ratings shown on page).,NAVIGATION,Positive,Follow the route without navigation friction,,97%,High
V043,Independent discovery,Self-guided audio,VoiceMap,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Production Quality feedback score reported at 97% across the product feedback panel (223 ratings shown on page).,PRODUCTION_QUALITY,Positive,Trust audio/script quality without a live guide,,97%,High
V044,Independent discovery,Self-guided audio,VoiceMap,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Depth of Info feedback score reported at 97% across the product feedback panel (223 ratings shown on page).,DEPTH_OF_INFO,Positive,Get enough context without a live guide,,97%,High
V045,Independent discovery,Self-guided audio,VoiceMap,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Route feedback score reported at 94% across the product feedback panel (223 ratings shown on page).,ROUTE_QUALITY,Positive,Follow a route that feels coherent and rewarding,,94%,High
V046,Independent discovery,Self-guided audio,VoiceMap,Old Amsterdam: A Walking Tour through the East Side and Jewish District,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Sense of Place feedback score reported at 95% across the product feedback panel (154 ratings shown on page).,HIDDEN_LOCAL_DISCOVERY,Positive,Feel connected to the place while exploring independently,,95%,High
V047,Independent discovery,Self-guided audio,VoiceMap,Old Amsterdam: A Walking Tour through the East Side and Jewish District,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Navigation feedback score reported at 100% across the product feedback panel (154 ratings shown on page).,NAVIGATION,Positive,Follow the route without navigation friction,,100%,High
V048,Independent discovery,Self-guided audio,VoiceMap,Old Amsterdam: A Walking Tour through the East Side and Jewish District,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Production Quality feedback score reported at 100% across the product feedback panel (154 ratings shown on page).,PRODUCTION_QUALITY,Positive,Trust audio/script quality without a live guide,,100%,High
V049,Independent discovery,Self-guided audio,VoiceMap,Old Amsterdam: A Walking Tour through the East Side and Jewish District,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Depth of Info feedback score reported at 100% across the product feedback panel (154 ratings shown on page).,DEPTH_OF_INFO,Positive,Get enough context without a live guide,,100%,High
V050,Independent discovery,Self-guided audio,VoiceMap,Old Amsterdam: A Walking Tour through the East Side and Jewish District,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Route feedback score reported at 100% across the product feedback panel (154 ratings shown on page).,ROUTE_QUALITY,Positive,Follow a route that feels coherent and rewarding,,100%,High
V051,Independent discovery,Self-guided audio,VoiceMap,A Tasty Stroll Around The Cool Spots of the Pijp,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Sense of Place feedback score reported at 100% across the product feedback panel (16 ratings shown on page).,HIDDEN_LOCAL_DISCOVERY,Positive,Feel connected to the place while exploring independently,,100%,Medium
V052,Independent discovery,Self-guided audio,VoiceMap,A Tasty Stroll Around The Cool Spots of the Pijp,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Navigation feedback score reported at 75% across the product feedback panel (16 ratings shown on page).,NAVIGATION,Mixed,Follow the route without navigation friction,Navigation underperforms the stronger self-guided benchmarks,75%,Medium
V053,Independent discovery,Self-guided audio,VoiceMap,A Tasty Stroll Around The Cool Spots of the Pijp,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Production Quality feedback score reported at 75% across the product feedback panel (16 ratings shown on page).,PRODUCTION_QUALITY,Mixed,Trust audio/script quality without a live guide,Production Quality underperforms the stronger self-guided benchmarks,75%,Medium
V054,Independent discovery,Self-guided audio,VoiceMap,A Tasty Stroll Around The Cool Spots of the Pijp,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Depth of Info feedback score reported at 33% across the product feedback panel (16 ratings shown on page).,DEPTH_OF_INFO,Negative,Get enough context without a live guide,Depth of Info underperforms the stronger self-guided benchmarks,33%,Medium
V055,Independent discovery,Self-guided audio,VoiceMap,A Tasty Stroll Around The Cool Spots of the Pijp,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp,2026-08-23,PLATFORM_FEEDBACK_METRIC,AI_ASSISTED,Route feedback score reported at 100% across the product feedback panel (16 ratings shown on page).,ROUTE_QUALITY,Positive,Follow a route that feels coherent and rewarding,,100%,Medium
