field_name,data_layer,definition,data_type,unit_or_format,allowed_values,required_stage,source_or_method,cleaning_rule,missing_value_rule,provenance_rule,duplicate_rule,price_rule,example,evidence_class,confidence_rule,lawful_use_note,reviewer_requirement,status
original_price,RAW,"Price text exactly as displayed, including crossed-out/promotional context where captured",string,verbatim price text,,Required when price shown,Manual capture,Do not overwrite source formatting,NOT_DISPLAYED if no public price,Time-sensitive observation tied to URL/date/service scenario,,Preserve all displayed price context,$30 $17,Observed Data,High,Public price only,Verbatim review,ACTIVE_PHASE1
cleaned_price,CLEAN,Numeric interpretation of the observed payable price under the recorded option,number,decimal in display_currency,,Required for comparable priced rows,Analyst cleaning,Parse only an unambiguous payable price; do not infer,Blank if ambiguous/not displayed,Transformation_note must explain non-trivial parsing,,Never mix group and person bases,17,Derived Data,Medium to High,No personal data,Compare to original_price,ACTIVE_PHASE1
price_basis,CLEAN,Unit to which cleaned_price applies,categorical,controlled value,per_person;per_group;bundle;included;not_displayed;unknown,Required when price captured,Analyst cleaning,Classify explicit page basis,unknown if page is unclear,Keep display context,,Rows with different bases are not pooled,per_person,Derived Data,Medium to High,No personal data,Basis validity,ACTIVE_PHASE1
duration_minutes,CLEAN,Publicly displayed product duration standardized for analysis,number/range,integer minutes or min-max text,,Required when displayed,Analyst cleaning,Convert hours to minutes; preserve ranges as min-max,Blank if not displayed,Transformation note if converted,,Do not infer from itinerary,60-90,Derived Data,Medium to High,No personal data,Unit conversion review,ACTIVE_PHASE1
group_model,CLEAN,Observed participation model,categorical/text,controlled composite text,shared;small_group;private;shared_private_option;unknown,Required after cleaning,Manual/analyst,Use only explicit group-format evidence,unknown when not disclosed,Record supporting display context,,Impacts price comparability,shared,Derived Data,Medium,No personal data,Allowed-value review,ACTIVE_PHASE1
language,CLEAN,Language availability explicitly displayed for the observed product/option,string,semicolon-separated codes/names or NOT_DISPLAYED,,Required after cleaning,Manual capture,Record only displayed languages for observed option,NOT_DISPLAYED is not equivalent to one language,Capture option/context if language varies,,,English;Dutch,Observed/Derived Data,Medium,No personal data,Disclosure check,ACTIVE_PHASE1
rating_scale,RAW,Maximum scale used by the public rating system,number,e.g. 5,,Optional,Manual capture,Numeric scale only,Blank when rating unavailable,Keep source/date,,Never convert ratings to demand,5,Observed Data,High,Public aggregate only,Scale check,ACTIVE_PHASE1
rating_value,RAW,Public aggregate rating displayed at observation,number,decimal,,Optional,Manual capture,Preserve displayed aggregate,Blank if not displayed,Tie to source/date,,Do not infer quality or bookings,4.8,Observed Data,High,Public aggregate only,Range check,ACTIVE_PHASE1
review_count,RAW,Public review-count aggregate displayed at observation,integer,count,,Optional,Manual capture,Remove thousands separators only,Blank if not displayed,Tie to source/date,,Never treat as bookings,12870,Observed Data,High,Public aggregate only,Integer check,ACTIVE_PHASE1
positioning,CLEAN,Concise analyst coding of the product promise/positioning visible in the listing,string,short controlled/free text,,Optional,Analyst coding,Summarize observable wording only,Blank if unsupported,Keep evidence in source fields,,,local historical interpretation,Derived Data,Medium,Public commercial positioning only,Human review,ACTIVE_PHASE1
differentiating_features,CLEAN,Observable features that may distinguish the listing,string,semicolon-separated controlled terms,,Optional,Analyst coding,Code only disclosed features,Blank if not disclosed; absence is not non-offer,Source evidence required,,,small group; private option,Derived Data,Medium,No personal data,Feature coding review,ACTIVE_PHASE1
duplicate_note,ANALYTICAL,Free-text note describing possible cross-platform or option duplication,string,text,,Optional,Human review,Describe uncertainty; do not merge here,"Blank means no note, not confirmed uniqueness",Link to duplicate_candidate_group when used,Does not authorize family merge,,Possible cross-platform family; unresolved,Derived Data,Medium,No personal data,Duplicate-review QA,ACTIVE_PHASE1
missing_data_flag,CLEAN,Indicates whether one or more expected analytical fields are unavailable/undisclosed,boolean,true/false,true;false,Required after cleaning,Analyst QA,true when expected comparison fields are missing,Never blank,Do not convert missing to zero/no,,,true,Derived Data,High,No personal data,Missingness scan,ACTIVE_PHASE1
evidence_class,GOVERNANCE,Evidence class under Article 01 hierarchy,categorical,controlled value,Observed Data;Derived Data;Interview Data;Secondary Research;Assumption,Required,Analyst,Assign based on evidence origin,Never blank,Must reflect actual provenance,,,Observed Data,Governance,High,Follow research governance,Evidence-class check,ACTIVE_PHASE1
confidence,GOVERNANCE,Analyst confidence in correctness/interpretability of the record,categorical,High/Medium/Low,High;Medium;Low,Required after review,Human review,Use rule in collection protocol,Never blank after review,Confidence is not product quality,,,Medium,Governance,Medium,No personal data,Reviewer check,ACTIVE_PHASE1
status,GOVERNANCE,Legacy dataset status retained for backward compatibility,categorical,PILOT/FULL,PILOT;FULL,Required,System/human,Keep existing pilot rows as PILOT; new production rows use FULL after capture,Never blank,Do not use as readiness stage; use collection_stage,,,PILOT,Governance,High,No personal data,Compatibility check,ACTIVE_PHASE1
source_owner,RAW,Organization/operator responsible for the page or listing when distinguishable from source platform,string,public name,,Recommended,Manual capture,Preserve published organization name,Blank if not identifiable,Public identity only,Useful duplicate evidence,,Flagship Amsterdam,Observed Data,Medium to High,Public business identity only,Name/source check,ACTIVE_PHASE1
product_detail_url,RAW,Most specific publicly accessible product-detail URL for the listing,url,HTTPS URL,,Recommended for full collection,Manual capture,Prefer canonical detail URL over category/search page,Blank only if detail URL unavailable,Retain source_url even when same,,,https://example.com/product/123,Observed Data,High when available,Respect platform terms,URL check,ACTIVE_PHASE1
operator_name,RAW,Publicly disclosed operating/provider company for the underlying experience,string,public business name,,Recommended for duplicate review,Manual capture,Record only when publicly disclosed,NOT_DISPLAYED if the platform does not disclose it,Evidence must be page/public operator source,Strong duplicate key but not alone,,Example Tours BV,Observed Data,Medium to High,Public business information only,Second check for merges,ACTIVE_PHASE1
operator_product_reference,RAW,Public SKU/product/reference ID when displayed in URL/page/metadata,string,text,,Optional,Manual capture,Preserve identifier exactly,Blank if unavailable,Tie to product_detail_url,Strong duplicate evidence,,12345,Observed Data,High when explicit,Public identifier only,Exact-match check,ACTIVE_PHASE1
observation_datetime,RAW,Timestamp when the price/availability observation was made,datetime,YYYY-MM-DDThh:mm+offset,,Required for full collection,Manual/system capture,Use Amsterdam-local or offset-aware timestamp consistently,Blank only for legacy pilot rows,Supports time-sensitive recheck,,,2026-08-23T10:30+02:00,Observed Data,High,No personal data,Timestamp check,ACTIVE_PHASE1
service_date,RAW,Future travel/service date selected for comparable price observation,date,YYYY-MM-DD,,Required for comparable price rows,Manual capture,Use common protocol date/window,Blank for legacy pilot or non-bookable pages,Critical provenance for price,,Prices across different service dates are not pooled,2026-09-15,Observed Data,High,No personal data,Protocol-date check,ACTIVE_PHASE1
participant_profile,RAW,Standard party used when observing price and availability,string,controlled scenario,1_adult_standard unless product requires another documented basis,Required for comparable price rows,Manual capture,Use same scenario unless product cannot support it,Blank for legacy pilot,Record deviation reason in display_context,,Do not compare incompatible party bases,1_adult_standard,Observed Data,High,No personal data,Scenario check,ACTIVE_PHASE1
option_observed,RAW,Specific bookable option/ticket/tour variant used for the observation,string,verbatim/short text,,Required when multiple options exist,Manual capture,Record option without assuming cheapest is equivalent,NOT_DISPLAYED if only one/general option,Tied to price and language,,Option differences may block duplicate/price comparison,Standard guided tour,Observed Data,High,Public commercial option only,Option check,ACTIVE_PHASE1
display_context,RAW,"Context needed to interpret the observed public values, including date, party, option, promo, availability or page limitations",string,text,,Recommended,Manual capture,Concise factual notes only,Blank if no special context,Supports re-performance,,,Price shown after selecting 1 adult on common service date,Observed Data,Medium to High,No personal data,Context completeness,ACTIVE_PHASE1
promotion_flag,CLEAN,Whether the observed price presentation appears promotional,categorical,YES/NO/UNREVIEWED/UNCLEAR,YES;NO;UNREVIEWED;UNCLEAR,Required before price analysis,Human review,YES only when a discount/reference price is visibly presented,UNREVIEWED for legacy pilot until checked,Link to original_price/display_context,,Promotional and non-promotional values may require separate treatment,NO,Derived Data,Medium,No personal data,Promo review,ACTIVE_PHASE1
reference_price_original,RAW,Displayed crossed-out/reference price when a promotion is shown,string/number,verbatim or numeric with currency context,,Optional,Manual capture,Preserve source value; do not infer savings,Blank if no displayed reference price,Tie to original_price and promo flag,,Not used as payable price,30,Observed Data,High when explicit,Public price only,Promo consistency,ACTIVE_PHASE1
normalized_currency,ANALYTICAL,Currency used only for approved cross-currency analytical comparison,currency,"ISO 4217, normally EUR",,Required only when normalization is approved,Analyst transformation,Populate only with documented FX rule,Blank until normalization,Requires fx_rate and fx_rate_date,,Never overwrite display_currency,EUR,Derived Data,High if documented,No personal data,FX QA,ACTIVE_PHASE1
normalized_price,ANALYTICAL,Comparable numeric price converted to normalized_currency under documented rules,number,decimal,,Required only for eligible price-analysis rows,Analyst transformation,Compute from cleaned_price only after basis/date compatibility,Blank for ineligible rows,Transformation note and FX provenance required,,Exclude bundles/group bases unless analyzed separately,25.40,Derived Data,Medium to High,No personal data,Recalculate/check,ACTIVE_PHASE1
fx_rate,ANALYTICAL,Exchange rate used to create normalized_price,number,rate: normalized_currency per display_currency,,Required when currency converted,Analyst transformation,Use one documented reference source/date for analysis batch,Blank when no conversion,Record external FX source in transformation note or protocol,,,0.86,Secondary/Derived Data,High when sourced,Public financial reference only,FX source/date check,ACTIVE_PHASE1
fx_rate_date,ANALYTICAL,Reference date of the FX rate used for normalization,date,YYYY-MM-DD,,Required when fx_rate used,Analyst transformation,Use documented common date,Blank when no conversion,Supports reproducibility,,,2026-08-23,Secondary/Derived Data,High,No personal data,Date check,ACTIVE_PHASE1
itinerary_summary,RAW/CLEAN,Concise observable itinerary/route or major stops as publicly disclosed,string,semicolon-separated factual summary,,Recommended for duplicate/feature review,Manual capture,Do not add undisclosed stops,NOT_DISPLAYED if absent,Retain source URL,,Strong duplicate/supporting evidence,Jordaan; canal belt,Observed Data,Medium to High,Public product information,Source check,ACTIVE_PHASE1
inclusions_summary,RAW/CLEAN,Publicly disclosed inclusions relevant to comparison and duplicate review,string,semicolon-separated factual summary,,Recommended,Manual capture,Record only explicit inclusions,NOT_DISPLAYED if absent,Retain source URL,,Strong duplicate/supporting evidence,guide; cheese; wine,Observed Data,Medium to High,Public product information,Source check,ACTIVE_PHASE1
meeting_point,RAW,Publicly disclosed meeting/start location at useful non-sensitive granularity,string,public location text,,Recommended for duplicate review,Manual capture,Preserve public commercial meeting information; avoid collecting personal/private data,NOT_DISPLAYED if absent,Retain source URL,Strong duplicate evidence,,Amsterdam Centraal vicinity,Observed Data,Medium to High,Public business meeting point only,Source check,ACTIVE_PHASE1
cancellation_summary,RAW/CLEAN,Public cancellation/refund policy applicable to observed option,string,short factual summary,,Optional,Manual capture,Record policy as displayed; do not provide legal interpretation,NOT_DISPLAYED if absent,Retain source/date because policies change,,,Free cancellation up to 24 hours,Observed Data,Medium to High,Public policy only,Policy/source check,ACTIVE_PHASE1
duplicate_candidate_group,ANALYTICAL,Temporary candidate-cluster ID used while investigating possible duplicate listings,string,DCG-###,,Required when duplicate candidate exists,Human/assisted review,Candidate only; never implies merge,Blank if no candidate identified,Preserve every record ID,Human decision required before product-family merge,,DCG-004,Derived Data,Medium,No personal data,Cluster review,ACTIVE_PHASE1
duplicate_review_status,GOVERNANCE,Human review state for duplicate identity,categorical,controlled value,NOT_ASSESSED;REVIEW_REQUIRED;CONFIRMED_SAME_FAMILY;CONFIRMED_DISTINCT;UNRESOLVED,Required before analysis,Human review,Update only through documented duplicate review,Never blank for full rows,Product family cannot be treated final when REVIEW_REQUIRED/UNRESOLVED,Controls product-family approval,,UNRESOLVED,Governance,High as workflow state,No personal data,Merge-gate check,ACTIVE_PHASE1
transformation_note,GOVERNANCE,"Field/record-level note explaining non-trivial cleaning, conversion or analytical transformation",string,text,,Required when transformation is non-obvious,Analyst,State what changed and why; never erase original values,Blank if no transformation,Must make derived values reproducible,,Required for FX and special price handling,Converted 2.5h to 150 minutes,Governance,High when complete,No personal data,Transformation-log check,ACTIVE_PHASE1
collection_stage,GOVERNANCE,Operational lifecycle stage for the observation,categorical,controlled workflow,RAW;REVIEWED;DUPLICATE_CHECKED;NORMALIZED;ANALYSIS_READY;PILOT_REVIEWED;REJECTED,Required,Human/system workflow,Advance only when stage QA passes,Never blank,Stage is auditable workflow state,ANALYSIS_READY requires duplicate gate complete,ANALYSIS_READY also requires compatible price treatment when used,RAW,Governance,High,No personal data,Stage-gate validation,ACTIVE_PHASE1
reviewer,GOVERNANCE,Analyst/reviewer identifier or role that approved the current stage,string,role or initials,,Required when moving beyond RAW,Human review,Use role/initials under team governance,Blank for legacy pilot if not recorded,Supports accountability,,,Research QA,Governance,High when recorded,Avoid unnecessary personal data,Reviewer requirement,ACTIVE_PHASE1
last_reviewed,GOVERNANCE,Date of most recent human QA review,date,YYYY-MM-DD,,Required after review,Human/system,ISO date,Blank only for unreviewed RAW rows,Supports stale-data checks,,,2026-08-23,Governance,High,No personal data,Date/stage check,ACTIVE_PHASE1
identity_qa_status,CLEAN / ANALYTICAL,Phase 2D identity-resolution outcome for the sampled dataset.,text,controlled text,RESOLVED_SAME_FAMILY | RESOLVED_DISTINCT_WITHIN_SAMPLE | PILOT_NOT_IN_FULL_GATE,DUPLICATE_CHECKED,Phase 2D identity review under CP17–CP19,Do not infer sameness from title similarity alone.,Never blank for FULL after Phase 2D.,Derived from human-style evidence review of sampled listings.,Must align with duplicate_review_status and product_family_id.,,RESOLVED_SAME_FAMILY,Derived Data,High only where operator/product evidence aligns; otherwise distinct within sampled dataset.,Uses public commercial product evidence only.,Independent confirmation required for every same-family merge before freeze.,ACTIVE_PHASE2D
price_qa_status,CLEAN,Phase 2D price-comparability gate status.,text,controlled text,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED | PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED | PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS | PILOT_NOT_IN_FULL_GATE,DUPLICATE_CHECKED onward,Derived from CP07–CP13 price controls,Never convert a display price into a comparable analytical price until participant/date/basis checks pass.,Never blank after Phase 2D.,Derived from captured price basis/value and protocol controls.,,Common service date and participant scenario required before cross-product price analysis.,OBSERVED_PRICE_VALID_COMMON_DATE_PENDING,Derived Data,"Status reflects QA gate, not market certainty.",Public displayed pricing only; no access-control bypass.,Independent review of normalized-price rule before freeze.,ACTIVE_PHASE2E
price_analysis_eligible,ANALYTICAL,Whether the observed price is currently eligible for cross-product statistical analysis.,boolean,boolean,true | false,NORMALIZED / ANALYSIS_READY,Derived from price_qa_status plus participant/date/basis/currency checks,Default false until all CP07–CP13 controls pass.,Use false until all price gates pass.,Derived QA field.,,True only for prices valid for the defined comparison batch.,false,Derived Data,Deterministic gate from documented price controls.,No new personal data.,Second review required for FX-normalized rule.,ACTIVE_PHASE2D
second_review_status,QA,Independent second-review state required by CP22.,text,controlled text,PENDING_INDEPENDENT_REVIEW | COMPLETE | NOT_REQUIRED_FOR_FULL_SAMPLE_GATE,Before ANALYSIS_READY,Independent reviewer under CP22,Do not mark COMPLETE from the same reconciliation pass.,Never blank for FULL.,QA governance field.,,,PENDING_INDEPENDENT_REVIEW,QA Metadata,Complete only when reviewer/date/notes are recorded.,QA metadata only.,At least 20% of FULL rows plus every same-family merge.,ACTIVE_PHASE2E
analysis_ready_reason,QA / ANALYTICAL,Plain-language explanation of why a row is or is not analysis-ready.,text,free text,Documented gate explanation,All non-ANALYSIS_READY rows,Derived from open QA gates,State specific blockers; do not imply evidence not collected.,Required when collection_stage is not ANALYSIS_READY.,Derived QA field.,,,Blocked: common-date price and independent second review pending.,QA Metadata,Must be consistent with the row QA fields.,No personal data.,Checked at final freeze.,ACTIVE_PHASE2D
price_recheck_date,QA,Date of Phase 2E public-price verification attempt,date,YYYY-MM-DD,,Required for FULL at freeze,Fresh public-page recheck,Record actual recheck date,Never blank for FULL after Phase 2E,Links price QA to freeze pass,,,2026-08-23,Observed/QA Metadata,High,Public pricing only,Freeze QA,ACTIVE_PHASE2E
comparison_service_window,QA,Common service-date window used for price comparability,string,YYYY-MM-DD_to_YYYY-MM-DD,,Required for FULL at freeze,Phase 2E protocol,Use one batch window for date-dependent products,Never blank for FULL after Phase 2E,Documented in freeze note,,Date-independent digital products may use explicit exception,2026-09-15_to_2026-09-21,QA Metadata,High,No personal data,Freeze QA,ACTIVE_PHASE2E
rechecked_source_price,CLEAN,Fresh source-currency price captured in Phase 2E without overwriting the original observation,number,decimal,,Only for verified comparable-price rows,Fresh public-page recheck,Numeric price only; preserve original_price and cleaned_price,Blank for excluded rows,Use recheck_provenance_url,,Must match rechecked_price_basis,9.99,Observed Data,High when publicly visible,Public displayed pricing only,Price QA,ACTIVE_PHASE2E
rechecked_source_currency,CLEAN,Currency of rechecked_source_price,currency,ISO 4217,,Only when rechecked_source_price populated,Fresh public-page recheck,Preserve source currency,Blank for excluded rows,Use recheck_provenance_url,,Never infer currency,USD,Observed Data,High,Public displayed pricing only,Price QA,ACTIVE_PHASE2E
rechecked_price_basis,CLEAN,Analytical basis of the Phase 2E price recheck,categorical,controlled text,per_person_date_independent;per_person_common_window;ticket_only_common_window;bundle;per_group;from_price_unverified;included;tip_based;not_observed,Required for verified price rows,Phase 2E QA classification,Only eligible basis values may feed normalized_price,Blank when no rechecked numeric price,Derived from source presentation,,Do not pool incompatible bases,per_person_date_independent,Derived Data,High after QA,No personal data,Price QA,ACTIVE_PHASE2E
recheck_provenance_url,RAW/QA,Specific public URL used for Phase 2E price/identity recheck,url,https://...,,Required for FULL at freeze,Fresh public-page recheck,Prefer product detail URL,Never blank for FULL,Supports reproducibility,,,https://voicemap.me/tour/amsterdam/...,Observed Metadata,High,Public pages only,URL check,ACTIVE_PHASE2E
fx_source,ANALYTICAL,Named reference source used for currency normalization,string,source name + URL,,Required whenever fx_rate is populated,ECB reference rates,Use one documented batch source/date,Blank when no conversion,Must accompany fx_rate and fx_rate_date,,ECB rates quoted currency units per EUR; stored fx_rate is EUR per source currency,European Central Bank,Secondary/Derived Data,High,Public financial reference only,FX QA,ACTIVE_PHASE2E
