record_id,product_family_id,source,source_url,collection_date,observed_title,category,subcategory,competitor_type,display_currency,original_price,cleaned_price,price_basis,duration_minutes,group_model,language,rating_scale,rating_value,review_count,positioning,differentiating_features,duplicate_note,missing_data_flag,evidence_class,confidence,status,source_owner,product_detail_url,operator_name,operator_product_reference,observation_datetime,service_date,participant_profile,option_observed,display_context,promotion_flag,reference_price_original,normalized_currency,normalized_price,fx_rate,fx_rate_date,itinerary_summary,inclusions_summary,meeting_point,cancellation_summary,duplicate_candidate_group,duplicate_review_status,transformation_note,collection_stage,reviewer,last_reviewed
APD02-012,PF-FOOD-SPUI,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Food Tour with Drinks by Spui Canals and Jordaan,Food,guided walking tastings,DIRECT,USD,$114,114,per_person,180,shared,NOT_DISPLAYED,5,4.8,128,food drinks and neighbourhoods,drinks; multi-area route,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-013,PF-BIKE-HIDDEN,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Hidden Gems & Highlights Guided Bike Tour,Cycling,hidden gems,DIRECT,USD,$43,43,per_person,180,shared,NOT_DISPLAYED,5,4.8,1405,hidden gems plus highlights,bike; broader discovery,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-014,PF-CANAL-FRENCH,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Visit Amsterdam by Boat with a French Guide,Canal,specialist language,DIRECT,USD,$40,40,per_person,90,shared,French,5,4.5,940,French-language live interpretation,specialist live language,,false,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-015,PF-FOOD-CULTURE,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Food and Culture Walking Tour with Tastings,Food,culture and tastings,DIRECT,USD,$91,91,per_person,210,shared,NOT_DISPLAYED,5,4.9,839,food plus cultural interpretation,tastings; culture,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-016,PF-FOOD-BOAT,Viator,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Food-and-Canals-Tour/d525-6624P3,2026-08-22,Eating Amsterdam: Food Walking Tour with Private Canal Cruise,Hybrid,food walk plus boat,DIRECT,USD,from $196,196,per_person,210,small group,English,5,4.9,603,food culture and private canal,6–7 tastings; drinks; private boat,,false,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-017,PF-FULLDAY-HYBRID,GYG,https://www.getyourguide.com/amsterdam-l36/amsterdam-full-day-walking-biking-cruising-with-lunch-t407357/,2026-08-22,Walking Biking & Cruising,Hybrid,full-day orientation,DIRECT,USD,from $71,71,per_person,510,small group max 10,English; Spanish,5,4.8,18,Amsterdam in one day,walk; bike; cruise,Similar Viator listing observed; probable same operator/product family,false,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,REVIEW_REQUIRED,,PILOT_REVIEWED,,2026-08-22
APD02-018,PF-WALK-CRUISE,Klook,https://www.klook.com/activity/150500-amsterdam-walking-tour-with-canal-cruise/,2026-08-22,Amsterdam walking tour with canal cruise,Hybrid,walk plus canal,DIRECT,USD,from $35.85,35.85,per_person,255,join-in group,English; Spanish,NOT_DISPLAYED,,,history walk plus cruise,guided walk; one-hour cruise,,true,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-019,PF-MUSEUM-CRUISE,Tiqets,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-van-gogh-museum-canal-cruise-p974260/,2026-08-22,Van Gogh Museum: Entry Ticket + Canal Cruise,Bundle,museum plus canal,SUBSTITUTE,EUR,NOT_DISPLAYED,,per_person,60,independent bundle,audio guide 18 languages,5,4.7,1046,two essential activities one ticket,museum admission; cruise; audio,,true,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-020,PF-CANAL-LUX,Expedia,https://www.expedia.com/things-to-do/amsterdam-luxury-canal-cruise-with-unlimited-drinks-bites.a4537928.activity-details,2026-08-22,Canal Cruise with Unlimited Drinks & Bite option,Canal,live-hosted food/drink,DIRECT,USD,$23,23,per_person,60+,shared; private option,English,10,9.2,4957,electric luxury cruise,live host; drinks option,Likely same Flagship family as APD02-001; review count attributed to GetYourGuide,false,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,REVIEW_REQUIRED,,PILOT_REVIEWED,,2026-08-22
APD02-021,PF-CANAL-SMALL,Expedia,https://www.expedia.com/things-to-do/amsterdam-small-group-canal-cruise-including-snacks-and-drinks.a1045874.activity-details,2026-08-22,Small-Group Canal Cruise Including Snacks and Drinks,Canal,small-group food/drink,DIRECT,USD,$69.21 $65.06,65.06,per_person,120,small group max 12,English,NOT_DISPLAYED,,,personal canal storytelling,open bar; Dutch snacks; small group,,true,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-022,PF-SELF-FOOD,Iamsterdam,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/amsterdam-self-guided-food-tour-de-jordaan-district,2026-08-22,Amsterdam Self-Guided Food Tour: De Jordaan District,Self-guided,digital food route,DIRECT,EUR,NOT_DISPLAYED,,not_displayed,,independent,NOT_DISPLAYED,NOT_DISPLAYED,,,own pace neighbourhood food,PDF; map links; discounts; food excluded,,true,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-023,PF-BLUE-CITY,BlueBoat,https://tickets.blueboat.nl/?lang=en,2026-08-22,City Canal Cruise,Canal,classic direct operator,DIRECT,EUR,EUR 15.00,15,per_person,75,shared,multiple audio languages,NOT_DISPLAYED,,,classic city cruise,direct operator; audio,,true,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-024,PF-CITYCARD-CRUISE,Tiqets,https://www.tiqets.com/en/amsterdam-lovers-canal-cruise-i-amsterdam-city-card-b277652/,2026-08-22,Lovers Canal Cruise + I amsterdam City Card,Bundle,city card plus canal,SUBSTITUTE,EUR,EUR 78.38,78.38,per_person,,independent,audio guide,NOT_DISPLAYED,,,multi-attraction convenience,city card; transport; cruise; bike rental,,true,Observed Data,High,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-025,,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Countryside-Bike-Tour-Including-Cheese-Tasting-and-Clog-Demonstration/d525-6464COUNTRY,2026-08-23,Amsterdam: Dutch Countryside E-Bike or Bike Tour With Cheese & Clogs,Regional/Day trip,Countryside cycling,DIRECT,USD,from $51,51,per_person,240,small_group,English,5,4.8,1633,Dutch countryside by bike with cheese/clog stop,Waterland villages; windmill; cheese and clog experience,,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Countryside-Bike-Tour-Including-Cheese-Tasting-and-Clog-Demonstration/d525-6464COUNTRY,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Viator public listing/category price observed as a from-price; common 2026-09-15 service-date checkout not verified.,NO,,,,,,"Amsterdam to Waterland/countryside route; villages, windmill and farm-style stops.",Bike/e-bike option depending selection; guided countryside route; selected farm experiences.,,,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-026,,VIATOR,https://www.viator.com/tours/Amsterdam/1-hour-Amsterdam-Canal-Cruise-with-Local-Skipper/d525-463549P1,2026-08-23,Amsterdam Canal Cruise with Local Guide and Small Group,Canal,Small-group live-guided canal cruise,DIRECT,USD,from $22.60,22.6,per_person,60,small_group,English;7 more displayed,5,5.0,6197,Small-group local-skipper cruise,Electric/open boat; live local commentary; optional drinks,Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/1-hour-Amsterdam-Canal-Cruise-with-Local-Skipper/d525-463549P1,EcoBoats (named in recent review; supplier identity requires confirmation),,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Viator page displayed from $22.60 per person; common service-date checkout not verified.,NO,,,,,,,,,Free cancellation up to 24 hours before experience start.,DUP-SMALL-LOCAL-CANAL,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-027,,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Booze-Boat/d525-220898P2,2026-08-23,Amsterdam: Sightseeing Canal Cruise With Drinks Upgrades,Canal,Sightseeing/drinks canal cruise,DIRECT,USD,from $23,23,per_person,60,shared,NOT_DISPLAYED,5,4.9,2736,Casual sightseeing cruise with drinks upgrade,Covered/open deck depending conditions; drinks upgrade; multiple departures,Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Booze-Boat/d525-220898P2,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Viator water-tour listing showed from $23 for comparable booze-cruise family; exact common-date checkout not verified.,NO,,,,,,,,,,DUP-DRINKS-CANAL,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-028,,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-08-23,Jordaan Food Tour with Dutch Tastings in Amsterdam,Food,Guided food walking tour,DIRECT,USD,from $92,92,per_person,180,small_group,English,5,4.9,2626,Jordaan culinary/history walking experience,12 Dutch tastings; 4 drinks; historic local venues,,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,"Viator Amsterdam Food Tours category showed this family among leading food tours; public from-price retained, common service-date checkout pending.",NO,,,,,,,"Dutch food tastings, drinks and local English-speaking guide.",,Free cancellation up to 24 hours in advance.,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-029,,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Cheese-Windmill-and-Countryside-Bike-Tour/d525-5525234P1,2026-08-23,"Amsterdam Cheese, Windmill & Countryside Bike Tour / E-bike Option",Regional/Day trip,Countryside bike tour,DIRECT,USD,from $54.37,54.37,per_person,180,small_group,English,5,4.8,530,Countryside cycling with cheese and windmill,3-speed bike; cheese stop; windmill; Waterland route,,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Amsterdam-Cheese-Windmill-and-Countryside-Bike-Tour/d525-5525234P1,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Viator page displayed from $54.37 per person; common service-date checkout not verified.,NO,,,,,,,Use of bicycle; helmet on request; guided route; cheese-farm stop.,"Nieuwezijds Voorburgwal 101, Amsterdam",Free cancellation up to 24 hours before experience start.,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-030,,VIATOR,https://www.viator.com/tours/Amsterdam/Guilty-Pleasure-Food-and-Drink-Tour-Trough-Old-Amsterdam-and-Red-Light-District/d525-375412P1,2026-08-23,Amsterdam Small-Group Walking Food Tour With 10 Tastings,Food,Small-group food walking tour,DIRECT,USD,NOT_DISPLAYED,,not_displayed,180,small_group,English,,,,Food-led city discovery across several neighbourhoods,10+ tastings at 5+ local eateries; drinks; max 10 foodies,,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Guilty-Pleasure-Food-and-Drink-Tour-Trough-Old-Amsterdam-and-Red-Light-District/d525-375412P1,,,2026-08-23T00:35:00+04:00,,,Standard/publicly displayed option,Viator detail page exposed duration/inclusions but no stable price in retrieved page; price left NOT_DISPLAYED.,NO,,,,,,,"10+ tastings, 2 drinks plus water; local guide; insider food tips.",,,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-031,,VIATOR,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Canal-Cruise-60-minutes/d525-21949P15,2026-08-23,Amsterdam Canal Cruise in Open Boat with Unlimited Drinks Option,Canal,Open-boat drinks cruise,DIRECT,USD,from $23,23,per_person,60,shared,English;1 more,5,4.9,5616,Open-boat social canal cruise,Unlimited-drinks option; open boat; city highlights,Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Canal-Cruise-60-minutes/d525-21949P15,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Viator public cruise category showed comparable from-price around $23; exact common-date checkout pending.,NO,,,,,,,,,,DUP-DRINKS-CANAL,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-032,,VIATOR,https://www.viator.com/tours/Amsterdam/Bike-Tour-of-Amsterdams-Highlights-and-Hidden-Gems/d525-71193P1,2026-08-23,Guided Bike Tour of Amsterdam Highlights & Hidden Gems,Cycling,City bike tour,DIRECT,USD,NOT_DISPLAYED,,not_displayed,180,small_group,English,,,,Small-group city cycling with hidden gems,Bike; English-speaking guide; max ~12; highlights and lesser-known areas,,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Bike-Tour-of-Amsterdams-Highlights-and-Hidden-Gems/d525-71193P1,,,2026-08-23T00:35:00+04:00,,,Standard/publicly displayed option,"Viator detail page exposed duration, inclusions and meeting point; stable price not shown in retrieved page.",NO,,,,,,,3-hour guided bike tour; bicycle; professional English-speaking guide.,"Spuistraat 30, 1012 TS Amsterdam",,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-033,,VIATOR,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-City-Bike-Tour/d525-6464CITY,2026-08-23,Amsterdam Highlights Bike or E-Bike Tour,Cycling,City highlights bike/e-bike tour,DIRECT,USD,from $43.56,43.56,per_person,150,shared,English;2 more,5,4.8,1268,Flexible city highlights cycling,"Bike or e-bike option; Jordaan, Skinny Bridge and local areas",Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-City-Bike-Tour/d525-6464CITY,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Viator comparison panel showed from $43.56; common service-date checkout not verified.,NO,,,,,,,,,,DUP-MIKES-CITY-BIKE,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-034,,VIATOR,https://www.viator.com/tours/Amsterdam/Small-City-Bike-Tour/d525-100957P1,2026-08-23,Amsterdam Small-Group or Private Bike Tour With Dutch Snack,Cycling,Small-group/private city bike tour,DIRECT,USD,NOT_DISPLAYED,,not_displayed,120,small_group,NOT_DISPLAYED,,,,Short city bike tour with Dutch snack,Bike; local guide; stroopwafel; coffee/tea; central landmarks,,true,Observed Data,Medium,FULL,VIATOR,https://www.viator.com/tours/Amsterdam/Small-City-Bike-Tour/d525-100957P1,,,2026-08-23T00:35:00+04:00,,,Standard/publicly displayed option,Viator detail page exposed 2-hour duration and inclusions; stable price not shown in retrieved page.,NO,,,,,,,2-hour guided bike tour; bicycle; local guide; stroopwafel; coffee/tea.,"Nieuwezijds Kolk 29, 1012 PV Amsterdam",,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-035,,KLOOK,https://www.klook.com/activity/87343-amsterdam-canal-cruise-with-straat-museum-ticket/,2026-08-23,STRAAT Museum Ticket in Amsterdam with Canal Cruise,Bundle,Museum + canal cruise bundle,SUBSTITUTE,CNY,¥385 ¥308,308,bundle,165,shared,Chinese;English;Spanish;Arabic;Hindi;Russian;Portuguese;Japanese;German;Korean;French;Turkish;Cantonese;Italian;Polish;Dutch;Czech;Hebrew;Croatian,,,,Street art museum plus multilingual canal sightseeing,STRAAT entry; 75-minute canal cruise; audio commentary in multiple languages,,true,Observed Data,Medium,FULL,KLOOK,https://www.klook.com/activity/87343-amsterdam-canal-cruise-with-straat-museum-ticket/,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Klook public page displayed ¥385 reference and ¥308 current package value; date-specific availability was not verified.,YES,¥385,,,,,,STRAAT Museum admission plus canal cruise; multilingual audio commentary.,,,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-036,,KLOOK,https://www.klook.com/activity/212019-stedelijk-musuem-ticket-and-lovers-canal-cruise/,2026-08-23,Stedelijk Museum Ticket and Lovers Canal Cruise,Bundle,Museum + canal cruise bundle,SUBSTITUTE,NOT_DISPLAYED,NOT_DISPLAYED,,bundle,,shared,NOT_DISPLAYED,,,,Modern art museum plus canal cruise,Stedelijk admission plus LOVERS canal cruise with audio commentary,Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,KLOOK,https://www.klook.com/activity/212019-stedelijk-musuem-ticket-and-lovers-canal-cruise/,LOVERS Canal Cruises (cruise component),,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Klook page described the bundle and meeting points; no stable public price in retrieved page.,NO,,,,,,,Stedelijk Museum admission and LOVERS Canal Cruise.,"Museumplein 10 and LOVERS Central Station, Prins Hendrikkade 20B",,DUP-LOVERS-BUNDLE,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-037,,KLOOK,https://www.klook.com/en-AE/activity/2819-van-gogh-museum-amsterdam/,2026-08-23,Van Gogh Museum + 1-Hour Canal Cruise,Bundle,Museum + canal cruise bundle,SUBSTITUTE,NOT_DISPLAYED,NOT_DISPLAYED,,bundle,60,shared,18-language GPS audio guide,,,,Flagship museum visit bundled with canal cruise,Van Gogh Museum entry; 1-hour canal cruise; multi-language audio guide,Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,KLOOK,https://www.klook.com/en-AE/activity/2819-van-gogh-museum-amsterdam/,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Klook page described museum/cruise bundle; price not stable in retrieved page and common date not checked.,NO,,,,,,,Van Gogh Museum entry plus one-hour Amsterdam canal cruise.,,,DUP-VANGOGH-CANAL,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-038,,KLOOK,https://www.klook.com/activity/17543-countryside-windmills-keukenhof-tour-amsterdam/,2026-08-23,"Keukenhof, Zaanse Schans & Volendam Tour from Amsterdam",Regional/Day trip,Seasonal countryside coach/day tour,DIRECT,NOT_DISPLAYED,NOT_DISPLAYED,,not_displayed,630,shared,English;Spanish,5,4.4,18,Full-day Dutch icons combination,Keukenhof; Zaanse Schans; cheese/clog demonstrations; Volendam/Marken elements,,true,Observed Data,Medium,FULL,KLOOK,https://www.klook.com/activity/17543-countryside-windmills-keukenhof-tour-amsterdam/,Tours and Tickets,,2026-08-23T00:35:00+04:00,,,Standard/publicly displayed option,"Klook product was seasonal for 19 Mar–10 May 2026; not available on common September comparison date, so no comparable price recorded.",NO,,,,,,,Guided day trip components; seasonal Keukenhof and countryside stops.,,,,NOT_ASSESSED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
APD02-039,,KLOOK,https://www.klook.com/en-US/activity/19861-canal-cruise-moco-museum-ticket-amsterdam/,2026-08-23,Moco Museum Ticket and Amsterdam Canal Cruise Experience,Bundle,Museum + canal cruise bundle,SUBSTITUTE,NOT_DISPLAYED,NOT_DISPLAYED,,bundle,75,shared,English;Chinese;Spanish;Arabic;Hindi;Russian;Portuguese;Japanese;German;Korean;French;Turkish;Cantonese;Italian;Polish;Bahasa Indonesia;Thai;Dutch;Czech;Croatian,,,,Modern-art museum plus sightseeing cruise,Moco admission; canal cruise; multi-language interpretation,Potential cross-platform/direct product-family overlap; requires human identity review.,true,Observed Data,Medium,FULL,KLOOK,https://www.klook.com/en-US/activity/19861-canal-cruise-moco-museum-ticket-amsterdam/,,,2026-08-23T00:35:00+04:00,,1_adult_standard,Standard/publicly displayed option,Klook detail page exposed bundle structure and languages; no stable public price in retrieved page.,NO,,,,,,,Moco Museum admission plus canal cruise.,,,DUP-MOCO-CANAL,REVIEW_REQUIRED,Phase 2A manual structured public-page observation; no FX normalization. Common service-date price check pending.,REVIEWED,OpenAI research pass 1,2026-08-23
