product_family,visitor_job,competitor_class,time_budget,budget_basis,overlap_reason,classification_limit,confidence,status
PF-APD02-042 | Amsterdam: Luxury Cruise with Onboard Bar,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-043 | Amsterdam: Traditional Evening Canal Cruise,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-044 | Amsterdam: Luxury Cruise with Cheese & Wine,See Amsterdam from the water,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-045 | Amsterdam: Canal Cruise with Optional Snack,See Amsterdam from the water,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-046 | Amsterdam: Dutch Cheese Tasting at Henri Willig,Experience Amsterdam through food,SUBSTITUTE,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-047 | Amsterdam: Audio Guide App,Explore independently at own pace,SUBSTITUTE,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-048 | I amsterdam City Card: 100+ Museums, Sightseeing + Public Transport",Access a specific attraction or bundled city value,SUBSTITUTE,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-049 | Amsterdam Canal Cruise - 100 Highlights,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-050 | Small Boat Cruise Amsterdam,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-051 | Pedal Boat Amsterdam,Explore independently at own pace,SUBSTITUTE,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-052 | Cheese & Wine Cruise Amsterdam,See Amsterdam from the water,DIRECT,75 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-053 | Pizza Cruise Amsterdam,See Amsterdam from the water,DIRECT,90 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-054 | Amsterdam Urban Adventure Bike Tour,Cover Amsterdam efficiently by bike,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-055 | Countryside North E-Bike Tour,Use Amsterdam as a base for regional discovery,DIRECT,270 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-057 | Countryside Bike Tour from Amsterdam,Use Amsterdam as a base for regional discovery,DIRECT,210 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-059 | New York Pizza Cruise by LOVERS,See Amsterdam from the water,DIRECT,75 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-060 | Amsterdam Dinner Cruise,See Amsterdam from the water,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-061 | Amsterdam: City Highlights Walking Tour,Understand Amsterdam on foot,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-062 | Amsterdam: Cultural Highlights Walking Tour in EN/DE/IT,Understand Amsterdam on foot,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-063 | Amsterdam: Walking Tour of Historic Center,Understand Amsterdam on foot,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-064 | Amsterdam: Jordaan Area Walking Tour,Understand Amsterdam on foot,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-065 | Amsterdam: Jordaan Food Tour of 10+ Local Classic Tastings,Experience Amsterdam through food,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-066 | Amsterdam: Food Tour with Drinks by Spui, Canals and Jordaan",Experience Amsterdam through food,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-067 | Amsterdam: Albert Cuyp Market and De Pijp Guided Foodie Tour,Experience Amsterdam through food,DIRECT,150 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-068 | Amsterdam: Self-Guided Food Tour in De Pijp Neighbourhood,Explore independently at own pace,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-069 | An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,Understand Amsterdam on foot,DIRECT,60 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-070 | Old Amsterdam: A Walking Tour through the East Side and Jewish District,Understand Amsterdam on foot,DIRECT,120 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-071 | Power and Politics: An Amsterdam Audio Tour with Context,Understand Amsterdam on foot,DIRECT,90 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-072 | Red Lights, Trade and Tolerance: A Tour of Amsterdam’s Old Centre",Understand Amsterdam on foot,DIRECT,90 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-073 | The Dutch Invented That: An Irreverent Amsterdam Tour,Understand Amsterdam on foot,DIRECT,60 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-074 | Vondelpark and Old West Neighbourhood: Amsterdam’s Green Heart,Understand Amsterdam on foot,DIRECT,60 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-075 | Vibrant Amsterdam East: A Story of Urban Revival Beyond the Canals,Understand Amsterdam on foot,DIRECT,90 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-076 | A Tasty Stroll Around The Cool Spots of the Pijp,Explore independently at own pace,DIRECT,60 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-077 | Red Light District,Explore independently at own pace,DIRECT,60 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-078 | Family-Friendly Amsterdam: A Walking Tour for Adults and Kids,Explore independently at own pace,DIRECT,45 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-079 | Amsterdam Walking Tour - Your perfect introduction to the city,Understand Amsterdam on foot,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-080 | Free Walking Tours Amsterdam,Understand Amsterdam on foot,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-081 | Anne Frank Walk,Explore independently at own pace,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-082 | Amsterdam: Red Light District Audio Tour,Explore independently at own pace,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-083 | Amsterdam Walking Tour, Netherlands - History, Culture & Main Sites (Self-Guided / GPS Audio Tour)",Explore independently at own pace,DIRECT,162 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-084 | Space Tourist Amsterdam: Explore the City’s Cosmic Side by Public Transport,Combine multiple Amsterdam experience modes,DIRECT,150 minutes,EUR-normalized date-independent price available,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-085 | Top 10 Tastings of Amsterdam: Food & Culture Bike Tour,Combine multiple Amsterdam experience modes,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-086 | Explore Amsterdam canals on iconic Flower Bikes,Cover Amsterdam efficiently by bike,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-087 | Amsterdam City Top Highlights Guided Bike Tour,Cover Amsterdam efficiently by bike,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-088 | Amsterdam: Explore the City Highlights by Bike,Cover Amsterdam efficiently by bike,DIRECT,150 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-089 | Amsterdam: 2.5-Hour Bike Tour,Cover Amsterdam efficiently by bike,DIRECT,150 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-090 | 10 Tastes of Amsterdam Food Tour: Small Group, Full Meal & Drinks",Experience Amsterdam through food,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-091 | Amsterdam Explorer Pass: Save up to 50 Percent - Includes Moco Museum,Access a specific attraction or bundled city value,SUBSTITUTE,43200 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-092 | Amsterdam All-Inclusive Pass: Save up to 50 Percent - Includes Rijksmuseum,Access a specific attraction or bundled city value,SUBSTITUTE,1440 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-096 | Madame Tussauds Amsterdam Admission Ticket,Access a specific attraction or bundled city value,SUBSTITUTE,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-098 | Amsterdam: Exclusive Heineken Experience VIP Tour Ticket,Combine multiple Amsterdam experience modes,DIRECT,150 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-099 | Heineken Canal Cruise with Drinks & Heineken Experience,Combine multiple Amsterdam experience modes,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-100 | Amsterdam Combo: Heineken Experience & 1-Hour Canal Cruise,Combine multiple Amsterdam experience modes,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-104 | FEBOAT,Combine multiple Amsterdam experience modes,DIRECT,95 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-105 | Amsterdam: Rijksmuseum Entry Ticket,Access a specific attraction or bundled city value,SUBSTITUTE,1440 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-106 | Amsterdam: Moco Museum Entry Ticket and Canal Cruise,Combine multiple Amsterdam experience modes,DIRECT,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-108 | Amsterdam: This Is Holland 5D Flight and Canal Cruise Combo,Combine multiple Amsterdam experience modes,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-LOVERS-CLASSIC-CANAL | Traditional 1-hour Canal Cruise,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-MIKES-CITY-BIKE | Amsterdam Highlights Bike or E-Bike Tour,Cover Amsterdam efficiently by bike,DIRECT,150-165 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-MOCO-ENTRY | Moco Museum: Banksy, Basquiat, Warhol, Kusama & More",Access a specific attraction or bundled city value,SUBSTITUTE,90 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-THIS-IS-HOLLAND-ENTRY | Amsterdam: THIS IS HOLLAND - The Ultimate Flight Experience,Spend visitor time on a substitute entertainment/cultural experience,SUBSTITUTE,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
