duplicate_candidate_group,product_family_id,decision,evidence_basis,records_in_group,review_date,reviewer,remaining_action
DUP-FEBOAT,PF-APD02-104,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-104,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-FLAGSHIP-FOOD-BIKE,PF-APD02-085,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-085,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-FLAGSHIP-HIGHLIGHTS-BIKE,PF-APD02-087,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-087,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-FLAGSHIP-LUX-CANAL,PF-APD02-042,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-042,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-FLOWER-BIKE,PF-APD02-086,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-086,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-FOOD-CANALS-JORDAAN,PF-APD02-066,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-066,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-FREE-WALK-INTRO,PF-APD02-080,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-080,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-GOCITY-ALLINC,PF-APD02-092,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-092,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-GOCITY-EXPLORER,PF-APD02-091,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-091,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-HEINEKEN-CRUISE-COMBO,PF-APD02-099;PF-APD02-100,CONFIRMED_DISTINCT,Different operator structures and bundle descriptions; retained as distinct products.,APD02-099;APD02-100,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review of this judgment only if selected in QA sample.
DUP-HEINEKEN-VIP,PF-APD02-098,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-098,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-JORDAAN-FOOD,PF-APD02-065,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-065,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-JORDAAN-WALK,PF-APD02-064,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-064,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-LOVERS-BUNDLE,PF-APD02-036,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-036,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-LOVERS-CLASSIC,PF-LOVERS-CLASSIC-CANAL,CONFIRMED_SAME_FAMILY,LOVERS operator identity plus matching classic one-hour canal-cruise format across Tiqets/direct observations.,APD02-041;APD02-058,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review confirmation before Article 02 freeze.
DUP-LOVERS-EVENING,PF-APD02-043,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-043,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-MADAME-TUSSAUDS-ENTRY,PF-APD02-096,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-096,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-MIKES-CITY-BIKE,PF-MIKES-CITY-BIKE,CONFIRMED_SAME_FAMILY,"Viator listing identifies Mike’s Bike Tours Amsterdam; matching city-bike/e-bike product, duration and meeting-point/operator evidence aligns with direct Mike’s listing.",APD02-033;APD02-056,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review confirmation before Article 02 freeze.
DUP-MIKES-COUNTRYSIDE,PF-APD02-055,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-055,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-MIKES-HIGHLIGHTS-BIKE,PF-APD02-088,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-088,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-MOCO-CANAL,PF-APD02-039,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-039,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-MOCO-CRUISE-COMBO,PF-APD02-106,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-106,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-MOCO-ENTRY,PF-MOCO-ENTRY,CONFIRMED_SAME_FAMILY,Matching named attraction/operator and consistent core experience/location across sampled listings.,APD02-097;APD02-103,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review confirmation before Article 02 freeze.
DUP-RIJKSMUSEUM-ENTRY,PF-APD02-105,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-105,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-RLD-AUDIO,PF-APD02-082,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-082,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-SELF-GUIDED-HIGHLIGHTS,PF-APD02-083,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-083,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-SMALL-LOCAL-CANAL,PF-APD02-026;PF-APD02-050,CONFIRMED_DISTINCT,Different named operators/suppliers (EcoBoats vs Stromma).,APD02-026;APD02-050,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review of this judgment only if selected in QA sample.
DUP-SPACE-TOUR,PF-APD02-084,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-084,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-THIS-IS-HOLLAND-CRUISE-COMBO,PF-APD02-108,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-108,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-THIS-IS-HOLLAND-ENTRY,PF-THIS-IS-HOLLAND-ENTRY,CONFIRMED_SAME_FAMILY,Matching named attraction/operator and consistent core experience/location across sampled listings.,APD02-093;APD02-101,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review confirmation before Article 02 freeze.
DUP-VANGOGH-CANAL,PF-APD02-037,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-037,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-WALK-CULTURE,PF-APD02-062,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-062,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-WALK-HIGHLIGHTS,PF-APD02-061,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-061,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-WALK-HISTORIC,PF-APD02-063,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-063,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-WHOISAMSTERDAM-INTRO,PF-APD02-079,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-079,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
