product_family_id,representative_title,listing_count,sources,category,competitor_class,operators,identity_status,price_ready_listing_count,notes
PF-APD02-037,Van Gogh Museum + 1-Hour Canal Cruise,1,KLOOK,Bundle,SUBSTITUTE,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-038,"Keukenhof, Zaanse Schans & Volendam Tour from Amsterdam",1,KLOOK,Regional/Day trip,DIRECT,Tours and Tickets,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-039,Moco Museum Ticket and Amsterdam Canal Cruise Experience,1,KLOOK,Bundle,SUBSTITUTE,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-040,"Volendam, Marken, Edam & Zaanse Schans Windmills Tour from Amsterdam",1,KLOOK,Regional/Day trip,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-042,Amsterdam: Luxury Cruise with Onboard Bar,1,TIQETS,Canal,DIRECT,Flagship Amsterdam / Starboard Boats BV,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-043,Amsterdam: Traditional Evening Canal Cruise,1,TIQETS,Canal,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-044,Amsterdam: Luxury Cruise with Cheese & Wine,1,TIQETS,Canal,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-045,Amsterdam: Canal Cruise with Optional Snack,1,TIQETS,Canal,DIRECT,Blue Boat Company (page imagery/title context; confirm supplier),CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-046,Amsterdam: Dutch Cheese Tasting at Henri Willig,1,TIQETS,Food,SUBSTITUTE,Henri Willig,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-047,Amsterdam: Audio Guide App,1,TIQETS,Self-guided,SUBSTITUTE,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-048,"I amsterdam City Card: 100+ Museums, Sightseeing + Public Transport",1,TIQETS,Pass/Attraction,SUBSTITUTE,amsterdam&partners / participating suppliers,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-049,Amsterdam Canal Cruise - 100 Highlights,1,DIRECT,Canal,DIRECT,Stromma Netherlands,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-050,Small Boat Cruise Amsterdam,1,DIRECT,Canal,DIRECT,Stromma Netherlands,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-051,Pedal Boat Amsterdam,1,DIRECT,Self-guided,SUBSTITUTE,Stromma Netherlands,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-052,Cheese & Wine Cruise Amsterdam,1,DIRECT,Canal,DIRECT,Stromma Netherlands,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-053,Pizza Cruise Amsterdam,1,DIRECT,Canal,DIRECT,Stromma Netherlands,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-054,Amsterdam Urban Adventure Bike Tour,1,DIRECT,Cycling,DIRECT,Mike's Bike Tours Amsterdam,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-055,Countryside North E-Bike Tour,1,DIRECT,Regional/Day trip,DIRECT,Mike's Bike Tours Amsterdam,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-057,Countryside Bike Tour from Amsterdam,1,DIRECT,Regional/Day trip,DIRECT,Yellow Bike Amsterdam,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-059,New York Pizza Cruise by LOVERS,1,DIRECT,Canal,DIRECT,LOVERS Canal Cruises,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-060,Amsterdam Dinner Cruise,1,DIRECT,Canal,DIRECT,LOVERS Canal Cruises,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-061,Amsterdam: City Highlights Walking Tour,1,GYG,Walking,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-062,Amsterdam: Cultural Highlights Walking Tour in EN/DE/IT,1,GYG,Walking,DIRECT,Amsterdamliebe,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-063,Amsterdam: Walking Tour of Historic Center,1,GYG,Walking,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-064,Amsterdam: Jordaan Area Walking Tour,1,GYG,Walking,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-065,Amsterdam: Jordaan Food Tour of 10+ Local Classic Tastings,1,GYG,Food,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-066,"Amsterdam: Food Tour with Drinks by Spui, Canals and Jordaan",1,GYG,Food,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-067,Amsterdam: Albert Cuyp Market and De Pijp Guided Foodie Tour,1,GYG,Food,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-068,Amsterdam: Self-Guided Food Tour in De Pijp Neighbourhood,1,GYG,Self-guided,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-069,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,1,VOICEMAP,Walking,DIRECT,Edmond Van Putte,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-070,Old Amsterdam: A Walking Tour through the East Side and Jewish District,1,VOICEMAP,Walking,DIRECT,Edmond Van Putte,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-071,Power and Politics: An Amsterdam Audio Tour with Context,1,VOICEMAP,Walking,DIRECT,Context Travel,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-072,"Red Lights, Trade and Tolerance: A Tour of Amsterdam’s Old Centre",1,VOICEMAP,Walking,DIRECT,Time Travel Amsterdam,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-073,The Dutch Invented That: An Irreverent Amsterdam Tour,1,VOICEMAP,Walking,DIRECT,Greg Shapiro,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-074,Vondelpark and Old West Neighbourhood: Amsterdam’s Green Heart,1,VOICEMAP,Walking,DIRECT,Wilhelmus,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-075,Vibrant Amsterdam East: A Story of Urban Revival Beyond the Canals,1,VOICEMAP,Walking,DIRECT,Bart,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-076,A Tasty Stroll Around The Cool Spots of the Pijp,1,VOICEMAP,Self-guided,DIRECT,Susam,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-077,Red Light District,1,VOICEMAP,Self-guided,DIRECT,Republic of Amsterdam Radio,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-078,Family-Friendly Amsterdam: A Walking Tour for Adults and Kids,1,VOICEMAP,Self-guided,DIRECT,Abel Studios,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-079,Amsterdam Walking Tour - Your perfect introduction to the city,1,IAMSTERDAM,Walking,DIRECT,Who Is Amsterdam,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-080,Free Walking Tours Amsterdam,1,IAMSTERDAM,Walking,DIRECT,Guided Tour Holland,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-081,Anne Frank Walk,1,IAMSTERDAM,Self-guided,DIRECT,Anne Frank Walk,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-082,Amsterdam: Red Light District Audio Tour,1,TIQETS,Self-guided,DIRECT,Tiqets International B.V.,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-083,"Amsterdam Walking Tour, Netherlands - History, Culture & Main Sites (Self-Guided / GPS Audio Tour)",1,UCPLACES,Self-guided,DIRECT,UCPlaces,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-084,Space Tourist Amsterdam: Explore the City’s Cosmic Side by Public Transport,1,VOICEMAP,Hybrid,DIRECT,Alexandra Sokolowski,CONFIRMED_DISTINCT,1,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-085,Top 10 Tastings of Amsterdam: Food & Culture Bike Tour,1,EXPEDIA,Hybrid,DIRECT,Flagship Bike Tours,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-086,Explore Amsterdam canals on iconic Flower Bikes,1,EXPEDIA,Cycling,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-087,Amsterdam City Top Highlights Guided Bike Tour,1,EXPEDIA,Cycling,DIRECT,Flagship Bike Tours,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-088,Amsterdam: Explore the City Highlights by Bike,1,EXPEDIA,Cycling,DIRECT,Amsterdam Bike Tours,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-089,Amsterdam: 2.5-Hour Bike Tour,1,EXPEDIA,Cycling,DIRECT,A-Bike rental and tours,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-090,"10 Tastes of Amsterdam Food Tour: Small Group, Full Meal & Drinks",1,EXPEDIA,Food,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-091,Amsterdam Explorer Pass: Save up to 50 Percent - Includes Moco Museum,1,EXPEDIA,Pass/Attraction,SUBSTITUTE,Go City,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-092,Amsterdam All-Inclusive Pass: Save up to 50 Percent - Includes Rijksmuseum,1,EXPEDIA,Pass/Attraction,SUBSTITUTE,Go City,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-096,Madame Tussauds Amsterdam Admission Ticket,1,EXPEDIA,Pass/Attraction,SUBSTITUTE,Merlin Entertainments,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-098,Amsterdam: Exclusive Heineken Experience VIP Tour Ticket,1,EXPEDIA,Hybrid,DIRECT,Heineken Experience,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-099,Heineken Canal Cruise with Drinks & Heineken Experience,1,EXPEDIA,Hybrid,DIRECT,Blue Boat Company / Heineken Experience,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-100,Amsterdam Combo: Heineken Experience & 1-Hour Canal Cruise,1,EXPEDIA,Hybrid,DIRECT,Tours & Tickets / LOVERS / Heineken Experience,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-104,FEBOAT,1,IAMSTERDAM,Hybrid,DIRECT,FEBOAT,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-105,Amsterdam: Rijksmuseum Entry Ticket,1,GYG,Pass/Attraction,SUBSTITUTE,GetYourGuide Tours & Tickets GmbH,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-106,Amsterdam: Moco Museum Entry Ticket and Canal Cruise,1,GYG,Hybrid,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-108,Amsterdam: This Is Holland 5D Flight and Canal Cruise Combo,1,GYG,Hybrid,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-LOVERS-CLASSIC-CANAL,Traditional 1-hour Canal Cruise,2,DIRECT;TIQETS,Canal,DIRECT,LOVERS Canal Cruises,CONFIRMED_SAME_FAMILY,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-MIKES-CITY-BIKE,Amsterdam Highlights Bike or E-Bike Tour,2,DIRECT;VIATOR,Cycling,DIRECT,Mike's Bike Tours Amsterdam,CONFIRMED_SAME_FAMILY,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-MOCO-ENTRY,"Moco Museum: Banksy, Basquiat, Warhol, Kusama & More",2,EXPEDIA;IAMSTERDAM,Pass/Attraction,SUBSTITUTE,Moco Museum,CONFIRMED_SAME_FAMILY,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-THIS-IS-HOLLAND-ENTRY,Amsterdam: THIS IS HOLLAND - The Ultimate Flight Experience,2,EXPEDIA;IAMSTERDAM,Performance/Other,SUBSTITUTE,THIS IS HOLLAND,CONFIRMED_SAME_FAMILY,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
