record_id,source,observed_title,category,collection_stage,price_captured,common_service_date_verified,duplicate_review_status,source_url,collection_note
APD02-042,TIQETS,Amsterdam: Luxury Cruise with Onboard Bar,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-luxury-cruise-with-onboard-bar-p1135499/,Tiqets category page showed £17.90 reference and £16.11 current price; detail page lists multiple providers/options. Common date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-043,TIQETS,Amsterdam: Traditional Evening Canal Cruise,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-traditional-evening-canal-cruise-p1135496/,Tiqets category page showed £13.27 reference and £11.94 current price; common date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-044,TIQETS,Amsterdam: Luxury Cruise with Cheese & Wine,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-luxury-cruise-with-cheese-wine-p1135501/,Tiqets category page showed from £26.93; duration/service-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-045,TIQETS,Amsterdam: Canal Cruise with Optional Snack,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-canal-cruise-with-optional-snack-p1135508/,Tiqets category page showed from £11.56; duration and common-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-046,TIQETS,Amsterdam: Dutch Cheese Tasting at Henri Willig,Food,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-dutch-cheese-tasting-at-henri-willig-p855999/,"Tiqets category page showed from £19.26; not a tour, retained as substitute competing for local-food discovery budget. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified."
APD02-047,TIQETS,Amsterdam: Audio Guide App,Self-guided,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-city-tour-of-amsterdam-audio-guide-app-p1015995/,Tiqets category page showed £8.13 reference and £4.71 current price; digital experience competes as a self-guided substitute. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-048,TIQETS,"I amsterdam City Card: 100+ Museums, Sightseeing + Public Transport",Pass/Attraction,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-i-amsterdam-city-card-p975500/,Tiqets product page described inclusions and 24–120 hour validity; stable current price was not captured in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-049,DIRECT,Amsterdam Canal Cruise - 100 Highlights,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.stromma.com/en-nl/amsterdam/sightseeing/canal-tours/100-highlights-cruise/,Direct Stromma page displayed online/promotional price €14.50 from €15.50 for Damrak/Central Station variants; common date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-050,DIRECT,Small Boat Cruise Amsterdam,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.stromma.com/en-nl/amsterdam/sightseeing/canal-tours/small-boat-cruise/,Direct Stromma page displayed online price from €20.50 with €21.50 reference at Rijksmuseum; common date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-051,DIRECT,Pedal Boat Amsterdam,Self-guided,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.stromma.com/en-nl/amsterdam/sightseeing/canal-tours/pedal-boat/,Direct Stromma page displayed promotional group price €23.50 from €34.50 for 1-hour rental up to 4 people; not comparable with per-person tours. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-052,DIRECT,Cheese & Wine Cruise Amsterdam,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.stromma.com/en-nl/amsterdam/dining-cruises/cheese-wine-cruise/,Direct Stromma page displayed €33.50 from €39.50; common date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-053,DIRECT,Pizza Cruise Amsterdam,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.stromma.com/en-nl/amsterdam/dining-cruises/pizza-cruise/,Direct Stromma page displayed €34.50 from €39.50; common date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-054,DIRECT,Amsterdam Urban Adventure Bike Tour,Cycling,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://mikesbiketoursamsterdam.com/urban-adventures-tour-amsterdam/,Direct operator page displayed Adult €44; common service-date checkout not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-055,DIRECT,Countryside North E-Bike Tour,Regional/Day trip,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://mikesbiketoursamsterdam.com/countryside-bike-tour-north-e-bike/,Direct operator page displayed Adult €59 and 4–4.5h duration; common date checkout not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-056,DIRECT,Amsterdam City Bike or E-Bike Tour,Cycling,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://mikesbiketoursamsterdam.com/,Direct operator homepage displayed Adult €35 and duration 2.5–3 hours; product-detail page not separately captured in this pass. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-057,DIRECT,Countryside Bike Tour from Amsterdam,Regional/Day trip,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.yellowbike.nl/en/tours/countryside-bike-tour-from-amsterdam/,"Direct operator page displayed Adult €45; taxes and bike included, booking fees excluded; common date checkout not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified."
APD02-058,DIRECT,Classic One Hour Amsterdam Canal Cruise,Canal,ANALYSIS_READY,NO,NO,CONFIRMED_SAME_FAMILY,https://www.lovers.nl/amsterdam-city-canal-cruises/1-h-amsterdam-day-canal-cruise/,Direct LOVERS product page exposed duration/languages but price rendered dynamically as “From” without stable value in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-059,DIRECT,New York Pizza Cruise by LOVERS,Canal,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.lovers.nl/amsterdam-dinner-cruises/new-york-pizza-cruise-lovers/,Direct LOVERS page exposed 75-minute duration and inclusions; stable price not rendered in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-060,DIRECT,Amsterdam Dinner Cruise,Canal,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.lovers.nl/amsterdam-dinner-cruises/amsterdam-culinary-cruise/,"Direct LOVERS page exposed 120-minute duration, menu structure and review aggregate; stable price not rendered in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified."
APD02-061,GYG,Amsterdam: City Highlights Walking Tour,Walking,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-walking-tour-t616749/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-062,GYG,Amsterdam: Cultural Highlights Walking Tour in EN/DE/IT,Walking,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-culture-history-walking-tour-in-german-t66011/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-063,GYG,Amsterdam: Walking Tour of Historic Center,Walking,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-historic-center-walking-tour-t629371/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-064,GYG,Amsterdam: Jordaan Area Walking Tour,Walking,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-guided-italian-walking-tour-t205525/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-065,GYG,Amsterdam: Jordaan Food Tour of 10+ Local Classic Tastings,Food,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/secret-food-tours-amsterdam-t171273/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-066,GYG,"Amsterdam: Food Tour with Drinks by Spui, Canals and Jordaan",Food,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-food-tour-with-drinks-by-spui-canals-and-jordaan-t435248/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-067,GYG,Amsterdam: Albert Cuyp Market and De Pijp Guided Foodie Tour,Food,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/eating-amsterdam-albert-cuyp-market-the-pijp-food-tour-t650212/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-068,GYG,Amsterdam: Self-Guided Food Tour in De Pijp Neighbourhood,Self-guided,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-self-guided-foodie-tour-with-8-stops-t426248/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-069,VOICEMAP,An Amsterdam Introduction: From Fishing Hamlet to Trading Centre,Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/an-amsterdam-introduction-from-fishing-hamlet-to-trading-centre,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-070,VOICEMAP,Old Amsterdam: A Walking Tour through the East Side and Jewish District,Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/old-amsterdam-a-walking-tour-through-the-east-side-and-jewish-district/sites/entrepotdok,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-071,VOICEMAP,Power and Politics: An Amsterdam Audio Tour with Context,Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/power-and-politics-an-amsterdam-audio-tour-with-context,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-072,VOICEMAP,"Red Lights, Trade and Tolerance: A Tour of Amsterdam’s Old Centre",Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/red-lights-trade-and-tolerance-a-tour-of-amsterdam-s-old-centre,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-073,VOICEMAP,The Dutch Invented That: An Irreverent Amsterdam Tour,Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/the-dutch-invented-that-an-irreverent-amsterdam-tour,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-074,VOICEMAP,Vondelpark and Old West Neighbourhood: Amsterdam’s Green Heart,Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/vondelpark-old-west-neighbourhood/sites,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-075,VOICEMAP,Vibrant Amsterdam East: A Story of Urban Revival Beyond the Canals,Walking,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/vibrant-amsterdam-east-a-story-of-urban-revival-beyond-the-canals/sites/timorplein,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-076,VOICEMAP,A Tasty Stroll Around The Cool Spots of the Pijp,Self-guided,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp/sites,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-077,VOICEMAP,Red Light District,Self-guided,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/red-light-district/sites/nieuwmarkt,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-078,VOICEMAP,Family-Friendly Amsterdam: A Walking Tour for Adults and Kids,Self-guided,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/family-friendly-amsterdam-a-walking-tour-for-adults-and-kids/sites,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-079,IAMSTERDAM,Amsterdam Walking Tour - Your perfect introduction to the city,Walking,ANALYSIS_READY,NON_NUMERIC,NO,CONFIRMED_DISTINCT,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/amsterdam-walking-tour-youre-perfect-introduction-to-the-city,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-080,IAMSTERDAM,Free Walking Tours Amsterdam,Walking,ANALYSIS_READY,NON_NUMERIC,NO,CONFIRMED_DISTINCT,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/free-walking-tours-amsterdam,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-081,IAMSTERDAM,Anne Frank Walk,Self-guided,ANALYSIS_READY,NON_NUMERIC,NO,CONFIRMED_DISTINCT,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/anne-frank-walk,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-082,TIQETS,Amsterdam: Red Light District Audio Tour,Self-guided,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-amsterdam-red-light-district-audio-tour-p1029334/,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-083,UCPLACES,"Amsterdam Walking Tour, Netherlands - History, Culture & Main Sites (Self-Guided / GPS Audio Tour)",Self-guided,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://www.ucplaces.com/usertourinfo/1892-amsterdam-walking-tour-netherlands-history-culture-main-sites-self-guided-gps-audio-tour-,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-084,VOICEMAP,Space Tourist Amsterdam: Explore the City’s Cosmic Side by Public Transport,Hybrid,ANALYSIS_READY,YES,DATE_INDEPENDENT_VERIFIED,CONFIRMED_DISTINCT,https://voicemap.me/tour/amsterdam/space-tourist-amsterdam-explore-the-city-s-cosmic-side-by-public-transport,Phase 2B gap-led collection. Common-date checkout/second review still pending; non-numeric price states preserved where applicable. Phase 2E: date-independent price rechecked and EUR-normalized.
APD02-085,EXPEDIA,Top 10 Tastings of Amsterdam: Food & Culture Bike Tour,Hybrid,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/top-10-tastings-of-amsterdam-food-culture-bike-tour.a51777590.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-086,EXPEDIA,Explore Amsterdam canals on iconic Flower Bikes,Cycling,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/explore-amsterdam-canals-on-iconic-flower-bikes.a50020975.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-087,EXPEDIA,Amsterdam City Top Highlights Guided Bike Tour,Cycling,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/amsterdam-top-highlights-city-bike-tour.a49586539.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-088,EXPEDIA,Amsterdam: Explore the City Highlights by Bike,Cycling,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/amsterdam-mikes-city-bike-tour-the-highlights.a48181979.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-089,EXPEDIA,Amsterdam: 2.5-Hour Bike Tour,Cycling,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/amsterdam-recorrido-en-bicicleta-de-2-5-horas.a5209568.detalles-actividades,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-090,EXPEDIA,"10 Tastes of Amsterdam Food Tour: Small Group, Full Meal & Drinks",Food,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/10-tastes-of-amsterdam-food-tour-by-unesco-canals-and-jordaan.a45036719.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-091,EXPEDIA,Amsterdam Explorer Pass: Save up to 50 Percent - Includes Moco Museum,Pass/Attraction,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/go-city-amsterdam-explorer-pass-choose-3-to-7-attractions.a44869587.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-092,EXPEDIA,Amsterdam All-Inclusive Pass: Save up to 50 Percent - Includes Rijksmuseum,Pass/Attraction,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/go-city-amsterdam-all-inclusive-pass-with-25-attractions.a5292912.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-093,EXPEDIA,Amsterdam: THIS IS HOLLAND - The Ultimate Flight Experience,Performance/Other,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.expedia.com/things-to-do/ticket-to-the-ultimate-5d-flight-experience-at-this-is-holland.a919370.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
