id,name,type,category,emirate,area,zone,zoneCode,maps,source,verified
"curated-jebel-hafit","Jebel Hafit","Outdoor","Mountain","Abu Dhabi","Al Ain","Al Ain","Z4","https://maps.google.com/?q=Jebel%20Hafit%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-al-jahili-fort","Al Jahili Fort","Culture Site","Fort","Abu Dhabi","Al Ain","Al Ain","Z4","https://maps.google.com/?q=Al%20Jahili%20Fort%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-emirates-palace-mandarin-oriental","Emirates Palace Mandarin Oriental","Hotel","Hotel","Abu Dhabi","Corniche","Corniche","Z4","https://maps.google.com/?q=Emirates%20Palace%20Mandarin%20Oriental%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-hilton-abu-dhabi-yas-island","Hilton Abu Dhabi Yas Island","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Hilton%20Abu%20Dhabi%20Yas%20Island%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-w-abu-dhabi-yas-island","W Abu Dhabi Yas Island","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=W%20Abu%20Dhabi%20Yas%20Island%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-rosewood-abu-dhabi","Rosewood Abu Dhabi","Hotel","Hotel","Abu Dhabi","Al Maryah Island","Al Maryah Island","Z4","https://maps.google.com/?q=Rosewood%20Abu%20Dhabi%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-the-galleria-al-maryah-island","The Galleria Al Maryah Island","Mall","Mall","Abu Dhabi","Al Maryah Island","Al Maryah Island","Z4","https://maps.google.com/?q=The%20Galleria%20Al%20Maryah%20Island%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-zayed-international-airport","Zayed International Airport","Transport Hub","Airport","Abu Dhabi","Airport Area","Airport Area","Z4","https://maps.google.com/?q=Zayed%20International%20Airport%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-burj-khalifa","Burj Khalifa","Attraction","Landmark","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Burj%20Khalifa%20Dubai%20UAE","curated-seed","false"
"curated-dubai-mall","Dubai Mall","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Dubai%20Mall%20Dubai%20UAE","curated-seed","false"
"curated-museum-of-the-future","Museum of the Future","Museum","Museum","Dubai","Sheikh Zayed Road","Sheikh Zayed Road","Z6","https://maps.google.com/?q=Museum%20of%20the%20Future%20Dubai%20UAE","curated-seed","false"
"curated-dubai-frame","Dubai Frame","Attraction","Landmark","Dubai","Zabeel","Zabeel","Z6","https://maps.google.com/?q=Dubai%20Frame%20Dubai%20UAE","curated-seed","false"
"curated-jumeirah-mosque","Jumeirah Mosque","Culture Site","Culture Site","Dubai","Jumeirah","Jumeirah","Z6","https://maps.google.com/?q=Jumeirah%20Mosque%20Dubai%20UAE","curated-seed","false"
"curated-al-fahidi-historical-neighbourhood","Al Fahidi Historical Neighbourhood","Culture Site","Culture Site","Dubai","Bur Dubai","Bur Dubai","Z6","https://maps.google.com/?q=Al%20Fahidi%20Historical%20Neighbourhood%20Dubai%20UAE","curated-seed","false"
"curated-dubai-creek","Dubai Creek","Attraction","Heritage","Dubai","Dubai Creek","Dubai Creek","Z6","https://maps.google.com/?q=Dubai%20Creek%20Dubai%20UAE","curated-seed","false"
"curated-gold-souk","Gold Souk","Market","Market","Dubai","Deira","Deira","Z6","https://maps.google.com/?q=Gold%20Souk%20Dubai%20UAE","curated-seed","false"
"curated-spice-souk","Spice Souk","Market","Market","Dubai","Deira","Deira","Z6","https://maps.google.com/?q=Spice%20Souk%20Dubai%20UAE","curated-seed","false"
"curated-palm-jumeirah","Palm Jumeirah","Attraction","Landmark","Dubai","Palm Jumeirah","Palm Jumeirah","Z6","https://maps.google.com/?q=Palm%20Jumeirah%20Dubai%20UAE","curated-seed","false"
"curated-atlantis-the-palm","Atlantis The Palm","Hotel","Hotel","Dubai","Palm Jumeirah","Palm Jumeirah","Z6","https://maps.google.com/?q=Atlantis%20The%20Palm%20Dubai%20UAE","curated-seed","false"
"curated-atlantis-the-royal","Atlantis The Royal","Hotel","Hotel","Dubai","Palm Jumeirah","Palm Jumeirah","Z6","https://maps.google.com/?q=Atlantis%20The%20Royal%20Dubai%20UAE","curated-seed","false"
"curated-jumeirah-beach-hotel","Jumeirah Beach Hotel","Hotel","Hotel","Dubai","Jumeirah","Jumeirah","Z6","https://maps.google.com/?q=Jumeirah%20Beach%20Hotel%20Dubai%20UAE","curated-seed","false"
"curated-burj-al-arab","Burj Al Arab","Hotel","Hotel","Dubai","Jumeirah","Jumeirah","Z6","https://maps.google.com/?q=Burj%20Al%20Arab%20Dubai%20UAE","curated-seed","false"
"curated-mall-of-the-emirates","Mall of the Emirates","Mall","Mall","Dubai","Al Barsha","Al Barsha","Z6","https://maps.google.com/?q=Mall%20of%20the%20Emirates%20Dubai%20UAE","curated-seed","false"
"curated-dubai-marina-mall","Dubai Marina Mall","Mall","Mall","Dubai","Dubai Marina","Dubai Marina","Z6","https://maps.google.com/?q=Dubai%20Marina%20Mall%20Dubai%20UAE","curated-seed","false"
"curated-bluewaters-island","Bluewaters Island","Attraction","Leisure District","Dubai","JBR","JBR","Z6","https://maps.google.com/?q=Bluewaters%20Island%20Dubai%20UAE","curated-seed","false"
"curated-expo-city-dubai","Expo City Dubai","Attraction","District","Dubai","Expo City Dubai","Expo City Dubai","Z6","https://maps.google.com/?q=Expo%20City%20Dubai%20Dubai%20UAE","curated-seed","false"
"curated-dubai-international-airport-terminal-1","Dubai International Airport Terminal 1","Transport Hub","Airport","Dubai","Dubai Airport","Dubai Airport","Z6","https://maps.google.com/?q=Dubai%20International%20Airport%20Terminal%201%20Dubai%20UAE","curated-seed","false"
"curated-dubai-international-airport-terminal-3","Dubai International Airport Terminal 3","Transport Hub","Airport","Dubai","Dubai Airport","Dubai Airport","Z6","https://maps.google.com/?q=Dubai%20International%20Airport%20Terminal%203%20Dubai%20UAE","curated-seed","false"
"curated-sharjah-museum-of-islamic-civilization","Sharjah Museum of Islamic Civilization","Museum","Museum","Sharjah","Heart of Sharjah","Heart of Sharjah","Z6","https://maps.google.com/?q=Sharjah%20Museum%20of%20Islamic%20Civilization%20Sharjah%20UAE","curated-seed","false"
"curated-sharjah-art-museum","Sharjah Art Museum","Museum","Museum","Sharjah","Heart of Sharjah","Heart of Sharjah","Z6","https://maps.google.com/?q=Sharjah%20Art%20Museum%20Sharjah%20UAE","curated-seed","false"
"curated-al-noor-mosque","Al Noor Mosque","Culture Site","Culture Site","Sharjah","Al Majaz","Al Majaz","Z6","https://maps.google.com/?q=Al%20Noor%20Mosque%20Sharjah%20UAE","curated-seed","false"
"curated-al-qasba","Al Qasba","Attraction","Leisure District","Sharjah","Al Qasba","Al Qasba","Z6","https://maps.google.com/?q=Al%20Qasba%20Sharjah%20UAE","curated-seed","false"
"curated-mleiha-archaeological-centre","Mleiha Archaeological Centre","Culture Site","Culture Site","Sharjah","Mleiha","Mleiha","Z6","https://maps.google.com/?q=Mleiha%20Archaeological%20Centre%20Sharjah%20UAE","curated-seed","false"
"curated-sharjah-aquarium","Sharjah Aquarium","Attraction","Family Attraction","Sharjah","Al Khan","Al Khan","Z6","https://maps.google.com/?q=Sharjah%20Aquarium%20Sharjah%20UAE","curated-seed","false"
"curated-central-souq-sharjah","Central Souq Sharjah","Market","Market","Sharjah","Al Majaz","Al Majaz","Z6","https://maps.google.com/?q=Central%20Souq%20Sharjah%20Sharjah%20UAE","curated-seed","false"
"curated-khorfakkan-amphitheatre","Khorfakkan Amphitheatre","Attraction","Landmark","Sharjah","Khorfakkan","Khorfakkan","Z6","https://maps.google.com/?q=Khorfakkan%20Amphitheatre%20Sharjah%20UAE","curated-seed","false"
"curated-ajman-museum","Ajman Museum","Museum","Museum","Ajman","Ajman Corniche","Ajman Corniche","Z6","https://maps.google.com/?q=Ajman%20Museum%20Ajman%20UAE","curated-seed","false"
"curated-ajman-city-centre","Ajman City Centre","Mall","Mall","Ajman","Ajman City Centre","Ajman City Centre","Z6","https://maps.google.com/?q=Ajman%20City%20Centre%20Ajman%20UAE","curated-seed","false"
"curated-ajman-beach","Ajman Beach","Beach","Beach","Ajman","Ajman Corniche","Ajman Corniche","Z6","https://maps.google.com/?q=Ajman%20Beach%20Ajman%20UAE","curated-seed","false"
"curated-uaq-national-museum","UAQ National Museum","Museum","Museum","Umm Al Quwain","UAQ Corniche","UAQ Corniche","Z6","https://maps.google.com/?q=UAQ%20National%20Museum%20Umm%20Al%20Quwain%20UAE","curated-seed","false"
"curated-dreamland-aqua-park","Dreamland Aqua Park","Attraction","Water Park","Umm Al Quwain","Dreamland Area","Dreamland Area","Z6","https://maps.google.com/?q=Dreamland%20Aqua%20Park%20Umm%20Al%20Quwain%20UAE","curated-seed","false"
"curated-jebel-jais","Jebel Jais","Outdoor","Mountain","Ras Al Khaimah","Jebel Jais","Jebel Jais","Z6","https://maps.google.com/?q=Jebel%20Jais%20Ras%20Al%20Khaimah%20UAE","curated-seed","false"
"curated-dhayah-fort","Dhayah Fort","Culture Site","Fort","Ras Al Khaimah","Dhayah","Dhayah","Z6","https://maps.google.com/?q=Dhayah%20Fort%20Ras%20Al%20Khaimah%20UAE","curated-seed","false"
"curated-al-hamra-mall","Al Hamra Mall","Mall","Mall","Ras Al Khaimah","Al Hamra","Al Hamra","Z6","https://maps.google.com/?q=Al%20Hamra%20Mall%20Ras%20Al%20Khaimah%20UAE","curated-seed","false"
"curated-marjan-island-resort-area","Marjan Island Resort Area","Hotel Zone","Hotel Zone","Ras Al Khaimah","Marjan Island","Marjan Island","Z6","https://maps.google.com/?q=Marjan%20Island%20Resort%20Area%20Ras%20Al%20Khaimah%20UAE","curated-seed","false"
"curated-fujairah-fort","Fujairah Fort","Culture Site","Fort","Fujairah","Fujairah City","Fujairah City","Z6","https://maps.google.com/?q=Fujairah%20Fort%20Fujairah%20UAE","curated-seed","false"
"curated-sheikh-zayed-mosque-fujairah","Sheikh Zayed Mosque Fujairah","Culture Site","Culture Site","Fujairah","Fujairah City","Fujairah City","Z6","https://maps.google.com/?q=Sheikh%20Zayed%20Mosque%20Fujairah%20Fujairah%20UAE","curated-seed","false"
"curated-al-bidya-mosque","Al Bidya Mosque","Culture Site","Culture Site","Fujairah","Dibba","Dibba","Z6","https://maps.google.com/?q=Al%20Bidya%20Mosque%20Fujairah%20UAE","curated-seed","false"
"curated-snoopy-island","Snoopy Island","Outdoor","Marine","Fujairah","Snoopy Island","Snoopy Island","Z6","https://maps.google.com/?q=Snoopy%20Island%20Fujairah%20UAE","curated-seed","false"
"curated-fujairah-mall","Fujairah Mall","Mall","Mall","Fujairah","Fujairah City","Fujairah City","Z6","https://maps.google.com/?q=Fujairah%20Mall%20Fujairah%20UAE","curated-seed","false"
"uae-auh-yas-island-hotel-1","Grand Yas Island Hotel 1","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Grand%20Yas%20Island%20Hotel%201%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-2","Royal Yas Island Suites 2","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Royal%20Yas%20Island%20Suites%202%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-3","City Yas Island Resort 3","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=City%20Yas%20Island%20Resort%203%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-4","Pearl Yas Island Residence 4","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Pearl%20Yas%20Island%20Residence%204%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-5","Marina Yas Island Collection 5","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Marina%20Yas%20Island%20Collection%205%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-6","Creek Yas Island Tower 6","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Creek%20Yas%20Island%20Tower%206%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-7","Heritage Yas Island Apartments 7","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Heritage%20Yas%20Island%20Apartments%207%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-8","Central Yas Island Hotel 8","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Central%20Yas%20Island%20Hotel%208%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-9","Vista Yas Island Suites 9","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Vista%20Yas%20Island%20Suites%209%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-10","Elite Yas Island Resort 10","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Elite%20Yas%20Island%20Resort%2010%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-11","Signature Yas Island Residence 11","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Signature%20Yas%20Island%20Residence%2011%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-12","Garden Yas Island Collection 12","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Garden%20Yas%20Island%20Collection%2012%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-13","Palace Yas Island Tower 13","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Palace%20Yas%20Island%20Tower%2013%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-14","Harbour Yas Island Apartments 14","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Harbour%20Yas%20Island%20Apartments%2014%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-15","Oasis Yas Island Hotel 15","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Oasis%20Yas%20Island%20Hotel%2015%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-16","Skyline Yas Island Suites 16","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Skyline%20Yas%20Island%20Suites%2016%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-17","Metro Yas Island Resort 17","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Metro%20Yas%20Island%20Resort%2017%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-18","Cultural Yas Island Residence 18","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Cultural%20Yas%20Island%20Residence%2018%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-19","Golden Yas Island Collection 19","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Golden%20Yas%20Island%20Collection%2019%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-20","Palm Yas Island Tower 20","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Palm%20Yas%20Island%20Tower%2020%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-21","Grand Yas Island Apartments 21","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Grand%20Yas%20Island%20Apartments%2021%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-22","Royal Yas Island Hotel 22","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Royal%20Yas%20Island%20Hotel%2022%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-23","City Yas Island Suites 23","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=City%20Yas%20Island%20Suites%2023%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-24","Pearl Yas Island Resort 24","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Pearl%20Yas%20Island%20Resort%2024%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-25","Marina Yas Island Residence 25","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Marina%20Yas%20Island%20Residence%2025%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-26","Creek Yas Island Collection 26","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Creek%20Yas%20Island%20Collection%2026%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-27","Heritage Yas Island Tower 27","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Heritage%20Yas%20Island%20Tower%2027%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-28","Central Yas Island Apartments 28","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Central%20Yas%20Island%20Apartments%2028%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-29","Vista Yas Island Hotel 29","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Vista%20Yas%20Island%20Hotel%2029%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-30","Elite Yas Island Suites 30","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Elite%20Yas%20Island%20Suites%2030%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-31","Signature Yas Island Resort 31","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Signature%20Yas%20Island%20Resort%2031%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-32","Garden Yas Island Residence 32","Hotel","Hotel","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Garden%20Yas%20Island%20Residence%2032%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-1","Royal Yas Island Residence 1","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Royal%20Yas%20Island%20Residence%201%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-2","City Yas Island Executive Apartments 2","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=City%20Yas%20Island%20Executive%20Apartments%202%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-3","Pearl Yas Island Hotel Apartments 3","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Pearl%20Yas%20Island%20Hotel%20Apartments%203%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-4","Marina Yas Island Residence 4","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Marina%20Yas%20Island%20Residence%204%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-5","Creek Yas Island Executive Apartments 5","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Creek%20Yas%20Island%20Executive%20Apartments%205%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-6","Heritage Yas Island Hotel Apartments 6","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Heritage%20Yas%20Island%20Hotel%20Apartments%206%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-7","Central Yas Island Residence 7","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Central%20Yas%20Island%20Residence%207%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-8","Vista Yas Island Executive Apartments 8","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Vista%20Yas%20Island%20Executive%20Apartments%208%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-9","Elite Yas Island Hotel Apartments 9","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Elite%20Yas%20Island%20Hotel%20Apartments%209%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-10","Signature Yas Island Residence 10","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Signature%20Yas%20Island%20Residence%2010%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-11","Garden Yas Island Executive Apartments 11","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Garden%20Yas%20Island%20Executive%20Apartments%2011%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-12","Palace Yas Island Hotel Apartments 12","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Palace%20Yas%20Island%20Hotel%20Apartments%2012%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-13","Harbour Yas Island Residence 13","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Harbour%20Yas%20Island%20Residence%2013%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-14","Oasis Yas Island Executive Apartments 14","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Oasis%20Yas%20Island%20Executive%20Apartments%2014%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-15","Skyline Yas Island Hotel Apartments 15","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Skyline%20Yas%20Island%20Hotel%20Apartments%2015%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-16","Metro Yas Island Residence 16","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Metro%20Yas%20Island%20Residence%2016%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-17","Cultural Yas Island Executive Apartments 17","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Cultural%20Yas%20Island%20Executive%20Apartments%2017%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-hotel-apartment-18","Golden Yas Island Hotel Apartments 18","Hotel Apartment","Hotel Apartment","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Golden%20Yas%20Island%20Hotel%20Apartments%2018%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-resort-1","City Yas Island Desert Resort 1","Resort","Resort","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=City%20Yas%20Island%20Desert%20Resort%201%20Abu%20Dhabi%20UAE","generated-seed","false"
"uae-auh-yas-island-resort-2","Pearl Yas Island Resort 2","Resort","Resort","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Pearl%20Yas%20Island%20Resort%202%20Abu%20Dhabi%20UAE","generated-seed","false"
