name,type,category,stars,zone,note,access,source,confidence
Marriott Hotel Downtown Abu Dhabi,Hotel,Hotel,,Downtown Abu Dhabi,,Downtown,locations.json,
Grand Millennium Al Wahda,Hotel,Hotel,,Downtown Abu Dhabi,,Al Wahda,locations.json,
Ferrari World Abu Dhabi,Attraction,Attraction,,Yas Island,,Yas Island,locations.json,
Warner Bros. World Abu Dhabi,Attraction,Attraction,,Yas Island,,Yas Island,locations.json,
SeaWorld Abu Dhabi,Attraction,Attraction,,Yas Island,,Yas Island,locations.json,
Yas Waterworld Abu Dhabi,Attraction,Attraction,,Yas Island,,Yas Island,locations.json,
Yas Marina Circuit,Attraction,Attraction,,Yas Island,,Yas Island,locations.json,
Louvre Abu Dhabi,Attraction,Attraction,,Saadiyat Island,,Cultural District,locations.json,
teamLab Phenomena Abu Dhabi,Attraction,Attraction,,Saadiyat Island,,Cultural District,locations.json,
Guggenheim Abu Dhabi,Attraction,Attraction,,Saadiyat Island,,Cultural District,locations.json,
Sheikh Zayed Grand Mosque,Attraction,Attraction,,Grand Mosque / Maqta,,Grand Mosque,locations.json,
Qasr Al Watan,Attraction,Attraction,,West Corniche,,Presidential Palace District,locations.json,
Founder’s Memorial,Attraction,Attraction,,Corniche / West Bay,,Corniche,locations.json,
Heritage Village Abu Dhabi,Attraction,Attraction,,Corniche / Marina,,Marina / Corniche,locations.json,
Qasr Al Hosn,Attraction,Attraction,,Downtown Abu Dhabi,,Al Hosn,locations.json,
Eastern Mangroves Abra / Kayak Area,Attraction,Attraction,,Eastern Mangroves,,Eastern Mangroves,locations.json,
Zayed International Airport Terminal A,Airport,Airport,,Airport / Khalifa City,,Airport,locations.json,
Abu Dhabi Cruise Terminal,Cruise terminal,Cruise terminal,,Mina Zayed,,Mina Zayed,locations.json,
Yas Mall,Mall,Mall,,Yas Island,,Yas Island,locations.json,
The Galleria Al Maryah Island,Mall,Mall,,Al Maryah / Downtown,,Al Maryah Island,locations.json,
Marina Mall Abu Dhabi,Mall,Mall,,Corniche / Marina,,Marina,locations.json,
Abu Dhabi Mall,Mall,Mall,,Downtown Abu Dhabi,,Tourist Club Area,locations.json,
Al Wahda Mall,Mall,Mall,,Downtown Abu Dhabi,,Al Wahda,locations.json,
Erth Abu Dhabi,Hotel,Hotel,,Grand Mosque / Maqta,,Maqta,locations.json,
ANDAZ Capital Gate Abu Dhabi,Hotel,Hotel,,ADNEC / Capital Centre,,Capital Centre,locations.json,
Madinat Zayed Shopping Centre,Mall,Mall,,Downtown Abu Dhabi,,Madinat Zayed,locations.json,
Manarat Al Saadiyat,Attraction,Attraction,,Saadiyat Island,,Saadiyat Cultural District,locations.json,
Zayed National Museum District,Attraction,Attraction,,Saadiyat Island,,Saadiyat Cultural District,locations.json,
Etihad Arena,Theatre,Theatre,,Yas Island,,Yas Bay,locations.json,
Etihad Park Yas Island,Theatre,Theatre,,Yas Island,,Yas Island,locations.json,
Telal Resort Al Ain,Hotel,Hotel,,Al Ain,,Remah / Al Ain Region,locations.json,
Ayla Bawadi Hotel Al Ain,Hotel,Hotel,,Al Ain,,Bawadi Mall District,locations.json,
Al Ain Rotana,Hotel,Hotel,,Al Ain,,Al Ain City,locations.json,
Radisson Blu Hotel & Resort Al Ain,Hotel,Hotel,,Al Ain,,Al Ain City,locations.json,
Jebel Hafeet,Attraction,Attraction,,Al Ain,,Jebel Hafeet,locations.json,
Al Ain Oasis,Attraction,Attraction,,Al Ain,,Al Ain City,locations.json,
Al Ain Zoo,Attraction,Attraction,,Al Ain,,Al Ain City,locations.json,
Danat Jebel Dhanna Resort,Hotel,Hotel,,Al Dhafra,,Jebel Dhanna,locations.json,
Anantara Sir Bani Yas Island Resort,Hotel,Hotel,,Al Dhafra,,Sir Bani Yas Island,locations.json,
Western Hotel Ghayathi,Hotel,Hotel,,Al Dhafra,,Ghayathi,locations.json,
Liwa Hotel,Hotel,Hotel,,Liwa,,Liwa Oasis,locations.json,
Qasr Al Sarab Desert Resort by Anantara,Hotel,Hotel,,Liwa,,Liwa Desert,locations.json,
Liwa Oasis,Attraction,Attraction,,Liwa,,Liwa Region,locations.json,
Moreeb Dune,Attraction,Attraction,,Liwa,,Liwa Desert,locations.json,
CLYMB Abu Dhabi,Attraction,Attraction,,Yas Island,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Yas Island,InfraDispatch UAE curated expansion,curated
Yas Bay Waterfront,Attraction,Attraction,,Yas Island,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Yas Bay,InfraDispatch UAE curated expansion,curated
Zayed National Museum,Attraction,Attraction,,Saadiyat Island,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Saadiyat Cultural District,InfraDispatch UAE curated expansion,curated
Natural History Museum Abu Dhabi,Attraction,Attraction,,Saadiyat Island,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Saadiyat Cultural District,InfraDispatch UAE curated expansion,curated
Mamsha Al Saadiyat,Attraction,Attraction,,Saadiyat Island,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Saadiyat Island,InfraDispatch UAE curated expansion,curated
Snow Abu Dhabi,Attraction,Attraction,,Abu Dhabi City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Reem Mall,InfraDispatch UAE curated expansion,curated
Reem Mall,Mall,Mall,,Abu Dhabi City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Al Reem Island,InfraDispatch UAE curated expansion,curated
The National Aquarium Abu Dhabi,Attraction,Attraction,,Abu Dhabi City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Al Qana,InfraDispatch UAE curated expansion,curated
Al Qana,Attraction,Attraction,,Abu Dhabi City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Al Qana,InfraDispatch UAE curated expansion,curated
Umm Al Emarat Park,Attraction,Attraction,,Abu Dhabi City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Mushrif,InfraDispatch UAE curated expansion,curated
ADNEC Centre Abu Dhabi,Event venue,Event venue,,Abu Dhabi City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",ADNEC,InfraDispatch UAE curated expansion,curated
Zayed International Airport,Airport,Airport,,Al Raha / Airport,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Airport,InfraDispatch UAE curated expansion,curated
Dubai International Airport,Airport,Airport,,Deira / Bur Dubai,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Dubai Airport,InfraDispatch UAE curated expansion,curated
Al Maktoum International Airport,Airport,Airport,,Dubai Marina / JBR,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Dubai South,InfraDispatch UAE curated expansion,curated
Burj Khalifa,Attraction,Attraction,,Dubai Downtown,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Downtown Dubai,InfraDispatch UAE curated expansion,curated
The Dubai Mall,Mall,Mall,,Dubai Downtown,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Downtown Dubai,InfraDispatch UAE curated expansion,curated
Museum of the Future,Attraction,Attraction,,Dubai Downtown,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Trade Centre,InfraDispatch UAE curated expansion,curated
Dubai Frame,Attraction,Attraction,,Deira / Bur Dubai,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Zabeel,InfraDispatch UAE curated expansion,curated
Atlantis The Palm,Hotel,Hotel,,Palm Jumeirah,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Palm Jumeirah,InfraDispatch UAE curated expansion,curated
Atlantis The Royal,Hotel,Hotel,,Palm Jumeirah,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Palm Jumeirah,InfraDispatch UAE curated expansion,curated
Aquaventure Waterpark,Attraction,Attraction,,Palm Jumeirah,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Palm Jumeirah,InfraDispatch UAE curated expansion,curated
Bluewaters Island,Attraction,Attraction,,Dubai Marina / JBR,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Bluewaters,InfraDispatch UAE curated expansion,curated
JBR The Walk,Attraction,Attraction,,Dubai Marina / JBR,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",JBR,InfraDispatch UAE curated expansion,curated
Dubai Marina Mall,Mall,Mall,,Dubai Marina / JBR,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Dubai Marina,InfraDispatch UAE curated expansion,curated
Global Village Dubai,Attraction,Attraction,,Dubai Downtown,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Dubailand,InfraDispatch UAE curated expansion,curated
IMG Worlds of Adventure,Attraction,Attraction,,Dubai Downtown,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",City of Arabia,InfraDispatch UAE curated expansion,curated
Dubai Miracle Garden,Attraction,Attraction,,Dubai Downtown,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Al Barsha South,InfraDispatch UAE curated expansion,curated
Mleiha Archaeological Centre,Attraction,Attraction,,Sharjah City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Mleiha,InfraDispatch UAE curated expansion,curated
Sharjah Museum of Islamic Civilization,Attraction,Attraction,,Sharjah City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Sharjah,InfraDispatch UAE curated expansion,curated
Sharjah Aquarium,Attraction,Attraction,,Sharjah City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Al Khan,InfraDispatch UAE curated expansion,curated
Ajman Museum,Attraction,Attraction,,Ajman City,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Ajman,InfraDispatch UAE curated expansion,curated
Jebel Jais,Attraction,Attraction,,Ras Al Khaimah,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Jebel Jais,InfraDispatch UAE curated expansion,curated
RAK National Museum,Attraction,Attraction,,Ras Al Khaimah,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Ras Al Khaimah,InfraDispatch UAE curated expansion,curated
Fujairah Fort,Attraction,Attraction,,Fujairah / East Coast,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Fujairah,InfraDispatch UAE curated expansion,curated
Snoopy Island,Attraction,Attraction,,Fujairah / East Coast,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Al Aqah,InfraDispatch UAE curated expansion,curated
Umm Al Quwain Mangroves,Attraction,Attraction,,Umm Al Quwain,"Curated UAE tourism point; verify live access, timing, coach parking and group rules before dispatch.",Umm Al Quwain,InfraDispatch UAE curated expansion,curated
Hilton Abu Dhabi City Hotel,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Hilton Abu Dhabi City Hotel & Apartments,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Hilton Abu Dhabi City Suites,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Hilton Abu Dhabi City Resort,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Hilton Abu Dhabi City Residence,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Hilton Abu Dhabi City City Hotel,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Hilton Yas Island Hotel,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Yas Island Hotel & Apartments,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Yas Island Suites,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Yas Island Resort,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Yas Island Residence,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Yas Island City Hotel,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Saadiyat Island Hotel,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Saadiyat Island Hotel & Apartments,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Saadiyat Island Suites,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Saadiyat Island Resort,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Saadiyat Island Residence,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Saadiyat Island City Hotel,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Raha / Airport Hotel,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Raha / Airport Hotel & Apartments,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Raha / Airport Suites,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Raha / Airport Resort,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Raha / Airport Residence,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Raha / Airport City Hotel,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Ain Hotel,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Ain Hotel & Apartments,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Ain Suites,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Ain Resort,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Ain Residence,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Ain City Hotel,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Dhafra / Liwa Hotel,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Dhafra / Liwa Hotel & Apartments,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Dhafra / Liwa Suites,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Dhafra / Liwa Resort,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Dhafra / Liwa Residence,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Hilton Al Dhafra / Liwa City Hotel,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Downtown Hotel,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Downtown Hotel & Apartments,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Downtown Suites,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Downtown Resort,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Downtown Residence,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Downtown City Hotel,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Marina / JBR Hotel,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Marina / JBR Hotel & Apartments,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Marina / JBR Suites,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Marina / JBR Resort,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Marina / JBR Residence,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Hilton Dubai Marina / JBR City Hotel,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Hilton Palm Jumeirah Hotel,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Hilton Palm Jumeirah Hotel & Apartments,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Hilton Palm Jumeirah Suites,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Hilton Palm Jumeirah Resort,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Hilton Palm Jumeirah Residence,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Hilton Palm Jumeirah City Hotel,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Hilton Deira / Bur Dubai Hotel,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Hilton Deira / Bur Dubai Hotel & Apartments,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Hilton Deira / Bur Dubai Suites,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Hilton Deira / Bur Dubai Resort,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Hilton Deira / Bur Dubai Residence,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
